"","t","k"
"1721",431,10
"1725",432,10
"1729",433,10
"1733",434,10
"1737",435,10
"1741",436,10
"1745",437,10
"1749",438,10
"1753",439,10
"1757",440,10
"1761",441,10
"1765",442,10
"1769",443,10
"1773",444,10
"1777",445,10
"1781",446,10
"1785",447,10
"1789",448,10
"1793",449,10
"1797",450,10
"1801",451,10
"1805",452,10
"1809",453,10
"1813",454,10
"1817",455,10
"1821",456,10
"1825",457,10
"1829",458,10
"1833",459,10
"1837",460,10
"1841",461,10
"1845",462,10
"1849",463,10
"1853",464,10
"1857",465,10
"1861",466,10
"1865",467,10
"1869",468,10
"1873",469,10
"1877",470,10
"1881",471,10
"1885",472,10
"1889",473,10
"1893",474,10
"1897",475,10
"1901",476,10
"1905",477,10
"1909",478,10
"1913",479,10
"1917",480,10
"1921",481,10
"1925",482,10
"1929",483,10
"1933",484,10
"1937",485,10
"1941",486,10
"1945",487,10
"1949",488,10
"1953",489,10
"1957",490,10
"1961",491,10
"1965",492,10
"1969",493,10
"1973",494,10
"1977",495,10
"1981",496,10
"1985",497,10
"1989",498,10
"1993",499,10
"1997",500,10
"2001",501,10
"2005",502,10
"2009",503,10
"2013",504,10
"2017",505,10
"2021",506,10
"2025",507,10
"2029",508,10
"2033",509,10
"2037",510,10
"2041",511,10
"2045",512,10
"2049",513,10
"2053",514,10
"2057",515,10
"2061",516,10
"2065",517,10
"2069",518,10
"2073",519,10
"2077",520,10
"2081",521,10
"2085",522,10
"2089",523,10
"2093",524,10
"2097",525,10
"2101",526,10
"2105",527,10
"2109",528,10
"2113",529,10
"2117",530,10
"2121",531,10
"2125",532,10
"2129",533,10
"2133",534,10
"2137",535,10
"2141",536,10
"2145",537,10
"2149",538,10
"2153",539,10
"2157",540,10
"2161",541,10
"2165",542,10
"2169",543,10
"2173",544,10
"2177",545,10
"2181",546,10
"2185",547,10
"2189",548,10
"2193",549,10
"2197",550,10
"2201",551,10
"2205",552,10
"2209",553,10
"2213",554,10
"2217",555,10
"2221",556,10
"2225",557,10
"2229",558,10
"2233",559,10
"2237",560,10
"2241",561,10
"2245",562,10
"2249",563,10
"2253",564,10
"2257",565,10
"2261",566,10
"2265",567,10
"2269",568,10
"2273",569,10
"2277",570,10
"2281",571,10
"2285",572,10
"2289",573,10
"2293",574,10
"2297",575,10
"2301",576,10
"2305",577,10
"2309",578,10
"2313",579,10
"2317",580,10
"2321",581,10
"2325",582,10
"2329",583,10
"2333",584,10
"2337",585,10
"2341",586,10
"2345",587,10
"2349",588,10
"2353",589,10
"2357",590,10
"2361",591,10
"2365",592,10
"2369",593,10
"2373",594,10
"2377",595,10
"2381",596,10
"2385",597,10
"2389",598,10
"2393",599,10
"2397",600,10
"2401",601,10
"2405",602,10
"2409",603,11
"2413",604,11
"2417",605,11
