"","t","k"
"400",1399,23
"401",1400,23
"402",1401,23
"403",1402,23
"404",1403,23
"405",1404,23
"406",1405,23
"407",1406,23
"408",1407,23
"409",1408,23
"410",1409,23
"411",1410,23
"412",1411,23
"413",1412,23
"414",1413,23
"415",1414,23
"416",1415,23
"417",1416,23
"418",1417,23
"419",1418,23
"420",1419,23
"421",1420,23
"422",1421,23
"423",1422,23
"424",1423,23
"425",1424,23
"426",1425,23
"427",1426,23
"428",1427,23
"429",1428,23
"430",1429,23
"431",1430,23
"432",1431,23
"433",1432,23
"434",1433,23
"435",1434,23
"436",1435,23
"437",1436,23
"438",1437,23
"439",1438,23
"440",1439,23
"441",1440,23
"442",1441,23
"443",1442,23
"444",1443,23
"445",1444,23
"446",1445,23
"447",1446,23
"448",1447,23
"449",1448,23
"450",1449,23
"451",1450,23
"452",1451,23
"453",1452,23
"454",1453,23
"455",1454,23
"456",1455,23
"457",1456,23
"458",1457,23
"459",1458,23
"460",1459,23
"461",1460,23
"462",1461,23
"463",1462,23
"464",1463,23
"465",1464,23
"466",1465,23
"467",1466,23
"468",1467,23
"469",1468,23
"470",1469,23
"471",1470,23
"472",1471,23
"473",1472,23
"474",1473,23
"475",1474,23
"476",1475,23
"477",1476,23
"478",1477,23
"479",1478,23
"480",1479,23
"481",1480,23
"482",1481,23
"483",1482,23
"484",1483,23
"485",1484,23
"486",1485,23
"487",1486,23
"488",1487,23
"489",1488,23
"490",1489,23
"491",1490,23
"492",1491,23
"493",1492,23
"494",1493,23
"495",1494,23
"496",1495,23
"497",1496,23
"498",1497,23
"499",1498,23
"500",1499,23
"501",1500,23
"502",1501,23
"503",1502,23
"504",1503,23
"505",1504,23
"506",1505,23
"507",1506,23
"508",1507,23
"509",1508,23
"510",1509,23
"511",1510,23
"512",1511,23
"513",1512,23
"514",1513,23
"515",1514,23
"516",1515,23
"517",1516,23
"518",1517,23
"519",1518,23
"520",1519,23
"521",1520,23
"522",1521,23
"523",1522,23
"524",1523,23
"525",1524,23
"526",1525,23
"527",1526,23
"528",1527,23
"529",1528,23
"530",1529,23
"531",1530,23
"532",1531,23
"533",1532,23
"534",1533,23
"535",1534,23
"536",1535,23
"537",1536,23
"538",1537,23
"539",1538,23
"540",1539,23
"541",1540,23
"542",1541,23
"543",1542,23
"544",1543,23
"545",1544,23
"546",1545,23
"547",1546,23
"548",1547,23
"549",1548,23
"550",1549,23
"551",1550,23
"552",1551,23
"553",1552,23
"554",1553,23
"555",1554,23
"556",1555,23
"557",1556,23
"558",1557,23
"559",1558,23
"560",1559,23
"561",1560,23
"562",1561,23
"563",1562,23
"564",1563,23
"565",1564,23
"566",1565,23
"567",1566,23
"568",1567,23
"569",1568,23
"570",1569,23
"571",1570,23
"572",1571,23
"573",1572,23
"574",1573,23
"575",1574,23
"576",1575,23
"577",1576,23
"578",1577,23
"579",1578,23
"580",1579,23
"581",1580,23
