"","t","k"
"2",1000,65
"6",1001,65
"10",1002,65
"14",1003,65
"18",1004,65
"22",1005,65
"26",1006,65
"30",1007,65
"34",1008,65
"38",1009,65
"42",1010,65
"46",1011,65
"50",1012,65
"54",1013,65
"58",1014,65
"62",1015,65
"66",1016,65
"70",1017,65
"74",1018,65
"78",1019,65
"82",1020,65
"86",1021,65
"90",1022,65
"94",1023,65
"98",1024,65
"102",1025,65
"106",1026,65
"110",1027,65
"114",1028,65
"118",1029,65
"122",1030,65
"126",1031,65
"130",1032,66
"134",1033,66
"138",1034,66
"142",1035,66
"146",1036,66
"150",1037,66
"154",1038,66
"158",1039,66
"162",1040,66
"166",1041,66
"170",1042,66
"174",1043,66
"178",1044,66
"182",1045,66
"186",1046,66
"190",1047,66
"194",1048,66
"198",1049,66
"202",1050,66
"206",1051,66
"210",1052,66
"214",1053,66
"218",1054,66
"222",1055,66
"226",1056,66
"230",1057,66
"234",1058,67
"238",1059,67
"242",1060,67
"246",1061,67
"250",1062,67
"254",1063,67
"258",1064,67
"262",1065,67
"266",1066,67
"270",1067,67
"274",1068,67
"278",1069,67
"282",1070,67
"286",1071,67
"290",1072,67
"294",1073,67
"298",1074,67
"302",1075,67
"306",1076,67
"310",1077,67
"314",1078,67
"318",1079,67
"322",1080,67
"326",1081,67
"330",1082,67
"334",1083,67
"338",1084,67
"342",1085,67
"346",1086,67
"350",1087,67
"354",1088,67
"358",1089,67
"362",1090,67
"366",1091,67
"370",1092,67
"374",1093,67
"378",1094,67
"382",1095,67
"386",1096,67
"390",1097,67
"394",1098,67
"398",1099,67
"402",1100,67
"406",1101,67
"410",1102,67
"414",1103,67
"418",1104,67
"422",1105,67
"426",1106,67
"430",1107,67
"434",1108,67
"438",1109,67
"442",1110,67
"446",1111,67
"450",1112,67
"454",1113,67
"458",1114,67
"462",1115,67
"466",1116,67
"470",1117,67
"474",1118,67
"478",1119,67
"482",1120,67
"486",1121,67
"490",1122,67
"494",1123,67
"498",1124,67
"502",1125,67
"506",1126,68
"510",1127,68
"514",1128,68
"518",1129,68
"522",1130,68
"526",1131,68
"530",1132,68
"534",1133,68
"538",1134,68
"542",1135,68
"546",1136,68
"550",1137,68
"554",1138,68
"558",1139,68
"562",1140,68
"566",1141,68
"570",1142,68
"574",1143,68
"578",1144,68
"582",1145,68
"586",1146,68
"590",1147,68
"594",1148,68
"598",1149,68
"602",1150,68
"606",1151,68
"610",1152,68
"614",1153,68
"618",1154,68
"622",1155,68
"626",1156,68
"630",1157,68
"634",1158,68
"638",1159,68
"642",1160,68
"646",1161,68
"650",1162,69
"654",1163,69
"658",1164,69
"662",1165,69
"666",1166,69
"670",1167,69
"674",1168,69
"678",1169,69
"682",1170,69
"686",1171,69
"690",1172,69
"694",1173,69
"698",1174,69
"702",1175,69
"706",1176,69
"710",1177,69
"714",1178,69
"718",1179,69
"722",1180,69
"726",1181,69
"730",1182,70
"734",1183,70
"738",1184,70
"742",1185,70
"746",1186,70
"750",1187,70
"754",1188,70
"758",1189,70
"762",1190,70
"766",1191,70
"770",1192,70
"774",1193,70
"778",1194,70
"782",1195,70
"786",1196,70
"790",1197,70
"794",1198,70
"798",1199,70
"802",1200,70
"806",1201,70
"810",1202,70
"814",1203,70
"818",1204,70
"822",1205,70
"826",1206,70
"830",1207,70
"834",1208,70
"838",1209,70
"842",1210,70
"846",1211,70
"850",1212,70
"854",1213,70
"858",1214,70
"862",1215,70
"866",1216,71
"870",1217,71
"874",1218,71
"878",1219,71
"882",1220,71
"886",1221,71
"890",1222,71
"894",1223,71
"898",1224,71
"902",1225,71
"906",1226,71
"910",1227,71
"914",1228,71
"918",1229,71
"922",1230,71
"926",1231,71
"930",1232,71
"934",1233,71
"938",1234,71
"942",1235,71
"946",1236,71
"950",1237,71
"954",1238,71
"958",1239,71
"962",1240,71
"966",1241,71
"970",1242,71
"974",1243,71
"978",1244,71
"982",1245,71
"986",1246,71
"990",1247,71
"994",1248,71
"998",1249,71
"1002",1250,71
"1006",1251,71
"1010",1252,71
"1014",1253,71
"1018",1254,71
"1022",1255,71
"1026",1256,71
"1030",1257,71
"1034",1258,71
"1038",1259,71
"1042",1260,71
"1046",1261,71
"1050",1262,71
"1054",1263,71
"1058",1264,71
"1062",1265,71
"1066",1266,71
"1070",1267,71
"1074",1268,71
"1078",1269,71
"1082",1270,71
"1086",1271,71
"1090",1272,71
"1094",1273,71
"1098",1274,71
"1102",1275,71
"1106",1276,71
"1110",1277,71
"1114",1278,71
"1118",1279,72
"1122",1280,72
"1126",1281,72
"1130",1282,72
"1134",1283,72
"1138",1284,73
"1142",1285,73
"1146",1286,73
"1150",1287,73
"1154",1288,73
"1158",1289,74
"1162",1290,74
"1166",1291,74
"1170",1292,75
"1174",1293,75
"1178",1294,76
"1182",1295,76
"1186",1296,76
"1190",1297,76
"1194",1298,76
"1198",1299,76
"1202",1300,76
"1206",1301,76
"1210",1302,76
"1214",1303,76
"1218",1304,76
"1222",1305,76
"1226",1306,76
"1230",1307,76
"1234",1308,76
"1238",1309,76
"1242",1310,76
"1246",1311,76
"1250",1312,76
"1254",1313,76
"1258",1314,76
"1262",1315,76
"1266",1316,76
"1270",1317,76
"1274",1318,76
"1278",1319,76
"1282",1320,76
"1286",1321,76
"1290",1322,76
"1294",1323,76
"1298",1324,76
"1302",1325,76
"1306",1326,76
"1310",1327,76
"1314",1328,76
"1318",1329,76
"1322",1330,76
"1326",1331,76
"1330",1332,76
"1334",1333,76
"1338",1334,76
"1342",1335,76
"1346",1336,76
"1350",1337,76
"1354",1338,76
"1358",1339,76
"1362",1340,76
"1366",1341,76
"1370",1342,76
"1374",1343,76
"1378",1344,76
"1382",1345,76
"1386",1346,76
"1390",1347,76
"1394",1348,76
"1398",1349,76
"1402",1350,76
"1406",1351,76
"1410",1352,76
"1414",1353,76
"1418",1354,76
"1422",1355,76
"1426",1356,76
"1430",1357,76
"1434",1358,76
"1438",1359,76
"1442",1360,76
"1446",1361,76
"1450",1362,76
"1454",1363,76
"1458",1364,76
"1462",1365,77
"1466",1366,77
"1470",1367,77
"1474",1368,77
"1478",1369,77
"1482",1370,77
"1486",1371,77
"1490",1372,77
"1494",1373,77
"1498",1374,77
"1502",1375,77
"1506",1376,77
"1510",1377,77
"1514",1378,77
"1518",1379,77
"1522",1380,77
"1526",1381,77
"1530",1382,77
"1534",1383,77
"1538",1384,77
"1542",1385,77
"1546",1386,77
"1550",1387,77
"1554",1388,78
"1558",1389,78
"1562",1390,78
"1566",1391,78
"1570",1392,78
"1574",1393,78
"1578",1394,78
"1582",1395,78
"1586",1396,78
"1590",1397,78
"1594",1398,78
"1598",1399,78
"1602",1400,78
"1606",1401,78
"1610",1402,78
"1614",1403,78
"1618",1404,78
"1622",1405,79
"1626",1406,79
"1630",1407,79
"1634",1408,79
"1638",1409,79
"1642",1410,79
"1646",1411,79
"1650",1412,79
"1654",1413,79
"1658",1414,79
"1662",1415,79
"1666",1416,79
"1670",1417,79
"1674",1418,79
"1678",1419,80
"1682",1420,80
"1686",1421,80
"1690",1422,80
"1694",1423,80
"1698",1424,80
"1702",1425,80
"1706",1426,80
"1710",1427,80
"1714",1428,80
"1718",1429,80
"1722",1430,80
"1726",1431,81
"1730",1432,81
"1734",1433,81
"1738",1434,81
"1742",1435,81
"1746",1436,81
"1750",1437,81
"1754",1438,81
"1758",1439,81
"1762",1440,81
"1766",1441,82
"1770",1442,82
"1774",1443,82
"1778",1444,82
"1782",1445,82
"1786",1446,82
"1790",1447,82
"1794",1448,82
"1798",1449,83
"1802",1450,83
"1806",1451,83
"1810",1452,83
"1814",1453,83
"1818",1454,83
"1822",1455,83
"1826",1456,83
"1830",1457,83
"1834",1458,83
"1838",1459,83
"1842",1460,83
"1846",1461,83
"1850",1462,83
"1854",1463,83
"1858",1464,83
"1862",1465,83
"1866",1466,83
"1870",1467,84
"1874",1468,84
"1878",1469,84
"1882",1470,84
"1886",1471,84
"1890",1472,84
"1894",1473,84
"1898",1474,84
"1902",1475,84
"1906",1476,84
"1910",1477,84
"1914",1478,84
"1918",1479,84
"1922",1480,84
"1926",1481,84
"1930",1482,84
"1934",1483,84
"1938",1484,84
"1942",1485,84
"1946",1486,84
"1950",1487,84
"1954",1488,84
"1958",1489,84
"1962",1490,84
"1966",1491,84
"1970",1492,84
"1974",1493,84
"1978",1494,84
"1982",1495,84
"1986",1496,84
"1990",1497,84
"1994",1498,84
"1998",1499,84
"2002",1500,84
"2006",1501,84
"2010",1502,84
"2014",1503,84
"2018",1504,84
"2022",1505,84
"2026",1506,84
"2030",1507,84
"2034",1508,84
"2038",1509,84
"2042",1510,84
"2046",1511,84
"2050",1512,84
"2054",1513,84
"2058",1514,84
"2062",1515,84
"2066",1516,84
"2070",1517,84
"2074",1518,84
"2078",1519,84
"2082",1520,84
"2086",1521,84
"2090",1522,84
"2094",1523,84
"2098",1524,84
"2102",1525,84
"2106",1526,84
"2110",1527,84
"2114",1528,84
"2118",1529,84
"2122",1530,84
"2126",1531,84
"2130",1532,84
"2134",1533,84
"2138",1534,84
"2142",1535,84
"2146",1536,84
"2150",1537,84
"2154",1538,84
"2158",1539,84
"2162",1540,84
"2166",1541,84
"2170",1542,84
"2174",1543,85
"2178",1544,85
"2182",1545,85
"2186",1546,85
"2190",1547,86
"2194",1548,86
"2198",1549,86
"2202",1550,87
"2206",1551,87
"2210",1552,87
"2214",1553,87
"2218",1554,87
"2222",1555,87
"2226",1556,87
"2230",1557,87
"2234",1558,87
"2238",1559,87
"2242",1560,87
"2246",1561,87
"2250",1562,87
"2254",1563,87
"2258",1564,87
"2262",1565,87
"2266",1566,87
"2270",1567,87
"2274",1568,87
"2278",1569,87
"2282",1570,87
"2286",1571,87
"2290",1572,87
"2294",1573,87
"2298",1574,87
"2302",1575,87
"2306",1576,87
"2310",1577,87
"2314",1578,87
"2318",1579,87
"2322",1580,87
"2326",1581,87
"2330",1582,87
"2334",1583,87
"2338",1584,87
"2342",1585,87
"2346",1586,87
"2350",1587,87
"2354",1588,87
"2358",1589,87
"2362",1590,87
"2366",1591,87
"2370",1592,87
"2374",1593,87
"2378",1594,87
"2382",1595,87
"2386",1596,87
"2390",1597,87
"2394",1598,87
"2398",1599,87
"2402",1600,87
"2406",1601,87
"2410",1602,87
"2414",1603,87
"2418",1604,87
"2422",1605,87
"2426",1606,87
"2430",1607,87
"2434",1608,87
"2438",1609,87
"2442",1610,87
"2446",1611,87
"2450",1612,87
"2454",1613,87
"2458",1614,87
"2462",1615,87
"2466",1616,87
"2470",1617,87
"2474",1618,87
"2478",1619,87
"2482",1620,87
"2486",1621,87
"2490",1622,87
"2494",1623,87
"2498",1624,87
"2502",1625,87
"2506",1626,87
"2510",1627,87
"2514",1628,87
"2518",1629,87
"2522",1630,87
"2526",1631,87
"2530",1632,87
"2534",1633,87
"2538",1634,87
"2542",1635,87
"2546",1636,87
"2550",1637,87
"2554",1638,87
"2558",1639,87
"2562",1640,87
"2566",1641,87
"2570",1642,87
"2574",1643,87
"2578",1644,87
"2582",1645,87
"2586",1646,87
"2590",1647,87
"2594",1648,87
"2598",1649,87
"2602",1650,87
"2606",1651,87
"2610",1652,87
"2614",1653,87
"2618",1654,87
"2622",1655,87
"2626",1656,87
"2630",1657,87
"2634",1658,87
"2638",1659,87
"2642",1660,87
"2646",1661,87
"2650",1662,87
"2654",1663,87
"2658",1664,87
"2662",1665,87
"2666",1666,87
"2670",1667,87
"2674",1668,87
"2678",1669,87
"2682",1670,87
"2686",1671,87
"2690",1672,87
"2694",1673,87
"2698",1674,87
"2702",1675,87
"2706",1676,87
"2710",1677,87
"2714",1678,87
"2718",1679,87
"2722",1680,87
"2726",1681,87
"2730",1682,87
"2734",1683,87
"2738",1684,87
"2742",1685,87
"2746",1686,87
"2750",1687,87
"2754",1688,87
"2758",1689,87
"2762",1690,87
"2766",1691,87
"2770",1692,87
"2774",1693,87
"2778",1694,87
"2782",1695,87
"2786",1696,87
"2790",1697,87
"2794",1698,87
"2798",1699,87
"2802",1700,87
"2806",1701,87
"2810",1702,87
"2814",1703,87
"2818",1704,87
"2822",1705,87
"2826",1706,87
"2830",1707,87
"2834",1708,87
"2838",1709,87
"2842",1710,87
"2846",1711,87
"2850",1712,87
"2854",1713,87
"2858",1714,87
"2862",1715,87
"2866",1716,87
"2870",1717,87
"2874",1718,87
"2878",1719,87
"2882",1720,87
"2886",1721,87
"2890",1722,87
"2894",1723,87
"2898",1724,87
"2902",1725,87
"2906",1726,87
"2910",1727,87
"2914",1728,87
"2918",1729,87
"2922",1730,87
"2926",1731,87
"2930",1732,87
"2934",1733,87
"2938",1734,87
"2942",1735,87
"2946",1736,87
"2950",1737,87
"2954",1738,87
"2958",1739,87
"2962",1740,87
"2966",1741,87
"2970",1742,87
"2974",1743,87
"2978",1744,87
"2982",1745,87
"2986",1746,87
"2990",1747,87
"2994",1748,87
"2998",1749,87
"3002",1750,87
"3006",1751,87
"3010",1752,87
"3014",1753,87
"3018",1754,87
"3022",1755,87
"3026",1756,87
"3030",1757,87
"3034",1758,87
"3038",1759,87
"3042",1760,87
"3046",1761,87
"3050",1762,87
"3054",1763,87
"3058",1764,87
"3062",1765,87
"3066",1766,87
"3070",1767,87
"3074",1768,87
"3078",1769,87
"3082",1770,87
"3086",1771,87
"3090",1772,87
"3094",1773,87
"3098",1774,87
"3102",1775,87
"3106",1776,87
"3110",1777,87
"3114",1778,87
"3118",1779,87
"3122",1780,87
"3126",1781,88
"3130",1782,88
"3134",1783,88
"3138",1784,88
"3142",1785,88
"3146",1786,88
"3150",1787,88
"3154",1788,88
"3158",1789,88
"3162",1790,88
"3166",1791,88
"3170",1792,88
"3174",1793,88
"3178",1794,88
"3182",1795,88
"3186",1796,88
"3190",1797,88
"3194",1798,88
"3198",1799,88
"3202",1800,88
"3206",1801,88
"3210",1802,88
"3214",1803,88
"3218",1804,88
"3222",1805,88
"3226",1806,88
"3230",1807,88
"3234",1808,88
"3238",1809,89
"3242",1810,89
"3246",1811,89
"3250",1812,89
"3254",1813,89
"3258",1814,89
"3262",1815,89
"3266",1816,89
"3270",1817,89
"3274",1818,89
"3278",1819,89
"3282",1820,89
"3286",1821,89
"3290",1822,89
"3294",1823,89
"3298",1824,89
"3302",1825,89
"3306",1826,89
"3310",1827,89
"3314",1828,89
"3318",1829,89
"3322",1830,89
"3326",1831,90
"3330",1832,90
"3334",1833,90
"3338",1834,91
"3342",1835,91
"3346",1836,91
"3350",1837,91
"3354",1838,91
"3358",1839,91
"3362",1840,91
"3366",1841,91
"3370",1842,91
"3374",1843,91
"3378",1844,91
"3382",1845,91
"3386",1846,91
"3390",1847,91
"3394",1848,91
"3398",1849,91
"3402",1850,92
"3406",1851,92
"3410",1852,92
"3414",1853,92
"3418",1854,92
"3422",1855,92
"3426",1856,92
"3430",1857,92
"3434",1858,92
"3438",1859,92
"3442",1860,92
"3446",1861,92
"3450",1862,92
"3454",1863,92
"3458",1864,92
"3462",1865,92
"3466",1866,92
"3470",1867,92
