"","t","k"
"3",1,3
"7",2,3
"11",3,3
"15",4,3
"19",5,3
"23",6,3
"27",7,3
"31",8,3
"35",9,3
"39",10,3
"43",11,3
"47",12,3
"51",13,3
"55",14,3
"59",15,3
"63",16,3
"67",17,3
"71",18,3
"75",19,3
"79",20,3
"83",21,3
"87",22,3
"91",23,3
"95",24,3
"99",25,3
"103",26,3
"107",27,3
"111",28,3
"115",29,3
"119",30,3
"123",31,3
"127",32,3
"131",33,3
"135",34,3
"139",35,3
"143",36,3
"147",37,3
"151",38,3
"155",39,3
"159",40,3
"163",41,3
"167",42,3
"171",43,3
"175",44,3
"179",45,3
"183",46,3
"187",47,3
"191",48,3
"195",49,3
"199",50,3
"203",51,3
"207",52,3
"211",53,3
"215",54,3
"219",55,3
"223",56,3
"227",57,3
"231",58,3
"235",59,3
"239",60,3
"243",61,3
"247",62,3
"251",63,3
"255",64,3
"259",65,3
"263",66,3
"267",67,3
"271",68,3
"275",69,3
"279",70,3
"283",71,3
"287",72,3
"291",73,3
"295",74,3
"299",75,3
"303",76,3
"307",77,3
"311",78,3
"315",79,3
"319",80,3
"323",81,3
"327",82,3
"331",83,3
"335",84,3
"339",85,3
"343",86,3
"347",87,3
"351",88,3
"355",89,3
"359",90,3
"363",91,3
"367",92,3
"371",93,3
"375",94,3
"379",95,3
"383",96,3
"387",97,3
"391",98,3
"395",99,3
"399",100,3
"403",101,3
"407",102,3
"411",103,3
"415",104,3
"419",105,3
"423",106,3
"427",107,3
"431",108,3
"435",109,3
"439",110,3
"443",111,3
"447",112,3
"451",113,3
"455",114,3
"459",115,3
"463",116,3
"467",117,3
"471",118,3
"475",119,3
"479",120,3
"483",121,3
"487",122,3
"491",123,3
"495",124,3
"499",125,3
"503",126,3
"507",127,3
"511",128,3
"515",129,3
"519",130,3
"523",131,3
"527",132,3
"531",133,3
"535",134,3
"539",135,3
"543",136,3
"547",137,3
"551",138,3
"555",139,3
"559",140,3
"563",141,3
"567",142,3
"571",143,3
"575",144,3
"579",145,3
"583",146,3
"587",147,3
"591",148,3
"595",149,3
"599",150,3
"603",151,3
"607",152,3
"611",153,3
"615",154,3
"619",155,3
"623",156,3
"627",157,3
"631",158,3
"635",159,3
"639",160,3
"643",161,3
"647",162,3
"651",163,3
"655",164,3
"659",165,3
"663",166,3
"667",167,3
"671",168,3
"675",169,3
"679",170,3
"683",171,3
"687",172,3
"691",173,3
"695",174,3
"699",175,3
"703",176,3
"707",177,3
"711",178,3
"715",179,3
"719",180,3
"723",181,3
"727",182,3
"731",183,3
"735",184,3
"739",185,3
"743",186,3
"747",187,3
"751",188,3
"755",189,3
"759",190,3
"763",191,3
"767",192,3
"771",193,3
"775",194,3
"779",195,3
"783",196,3
"787",197,3
"791",198,3
"795",199,3
"799",200,3
"803",201,3
"807",202,3
"811",203,3
"815",204,3
"819",205,3
"823",206,3
"827",207,3
"831",208,3
"835",209,3
"839",210,3
"843",211,3
"847",212,3
"851",213,3
"855",214,3
"859",215,3
"863",216,3
"867",217,3
"871",218,3
"875",219,3
"879",220,3
"883",221,3
"887",222,3
"891",223,3
"895",224,3
"899",225,3
"903",226,3
"907",227,3
"911",228,3
"915",229,3
"919",230,3
"923",231,3
"927",232,3
"931",233,3
"935",234,3
"939",235,3
"943",236,3
"947",237,3
"951",238,3
"955",239,3
"959",240,3
"963",241,3
"967",242,3
"971",243,3
"975",244,3
"979",245,3
"983",246,3
"987",247,3
"991",248,3
"995",249,3
"999",250,3
"1003",251,3
"1007",252,3
"1011",253,3
"1015",254,3
"1019",255,3
"1023",256,3
"1027",257,3
"1031",258,3
"1035",259,3
"1039",260,3
"1043",261,3
"1047",262,3
"1051",263,3
"1055",264,3
"1059",265,3
"1063",266,3
"1067",267,3
"1071",268,3
"1075",269,3
"1079",270,3
"1083",271,3
"1087",272,3
"1091",273,3
"1095",274,3
"1099",275,3
"1103",276,3
"1107",277,3
"1111",278,3
"1115",279,3
"1119",280,3
"1123",281,3
"1127",282,3
"1131",283,3
"1135",284,3
"1139",285,3
"1143",286,3
"1147",287,3
"1151",288,3
"1155",289,3
"1159",290,3
"1163",291,3
"1167",292,3
"1171",293,3
"1175",294,3
"1179",295,3
"1183",296,3
"1187",297,3
"1191",298,3
"1195",299,3
"1199",300,3
"1203",301,3
"1207",302,3
"1211",303,3
"1215",304,3
"1219",305,3
"1223",306,3
"1227",307,3
"1231",308,3
"1235",309,3
"1239",310,3
"1243",311,3
"1247",312,3
"1251",313,3
"1255",314,3
"1259",315,3
"1263",316,3
"1267",317,3
"1271",318,3
"1275",319,3
"1279",320,3
"1283",321,3
"1287",322,3
"1291",323,3
"1295",324,3
"1299",325,3
"1303",326,3
"1307",327,3
"1311",328,3
"1315",329,3
"1319",330,3
"1323",331,3
"1327",332,3
"1331",333,3
"1335",334,3
"1339",335,3
"1343",336,3
"1347",337,3
"1351",338,3
"1355",339,3
"1359",340,3
"1363",341,3
"1367",342,3
"1371",343,3
"1375",344,3
"1379",345,3
"1383",346,3
"1387",347,3
"1391",348,3
"1395",349,3
"1399",350,3
"1403",351,3
"1407",352,3
"1411",353,3
"1415",354,3
"1419",355,3
"1423",356,3
"1427",357,3
"1431",358,3
"1435",359,3
"1439",360,3
"1443",361,3
"1447",362,3
"1451",363,3
"1455",364,3
"1459",365,3
"1463",366,3
"1467",367,3
"1471",368,3
"1475",369,3
"1479",370,3
"1483",371,3
"1487",372,3
"1491",373,3
"1495",374,3
"1499",375,3
"1503",376,3
"1507",377,3
"1511",378,3
"1515",379,3
"1519",380,3
"1523",381,3
"1527",382,3
"1531",383,3
"1535",384,3
"1539",385,3
"1543",386,3
"1547",387,3
"1551",388,3
"1555",389,3
"1559",390,3
"1563",391,3
"1567",392,3
"1571",393,3
"1575",394,3
"1579",395,3
"1583",396,3
"1587",397,3
"1591",398,3
"1595",399,3
"1599",400,3
"1603",401,3
"1607",402,3
"1611",403,3
"1615",404,3
"1619",405,3
"1623",406,3
"1627",407,3
"1631",408,3
"1635",409,3
"1639",410,3
"1643",411,3
"1647",412,3
"1651",413,3
"1655",414,3
"1659",415,3
"1663",416,3
"1667",417,3
"1671",418,3
"1675",419,3
"1679",420,3
"1683",421,3
"1687",422,3
"1691",423,3
"1695",424,3
"1699",425,3
"1703",426,3
"1707",427,3
"1711",428,3
"1715",429,3
"1719",430,3
"1723",431,3
"1727",432,3
"1731",433,3
"1735",434,3
"1739",435,3
"1743",436,3
"1747",437,3
"1751",438,3
"1755",439,3
"1759",440,3
"1763",441,3
"1767",442,3
"1771",443,3
"1775",444,3
"1779",445,3
"1783",446,3
"1787",447,3
"1791",448,3
"1795",449,3
"1799",450,3
"1803",451,3
"1807",452,3
"1811",453,3
"1815",454,3
"1819",455,3
"1823",456,3
"1827",457,3
"1831",458,3
"1835",459,3
"1839",460,3
"1843",461,3
"1847",462,3
"1851",463,3
"1855",464,3
"1859",465,3
"1863",466,3
"1867",467,3
"1871",468,3
"1875",469,3
"1879",470,3
"1883",471,3
"1887",472,3
"1891",473,3
"1895",474,3
"1899",475,3
"1903",476,3
"1907",477,3
"1911",478,3
"1915",479,3
"1919",480,3
"1923",481,3
"1927",482,3
"1931",483,3
"1935",484,3
"1939",485,3
"1943",486,3
"1947",487,3
"1951",488,3
"1955",489,3
"1959",490,3
"1963",491,3
"1967",492,3
"1971",493,3
"1975",494,3
"1979",495,3
"1983",496,3
"1987",497,3
"1991",498,3
"1995",499,3
"1999",500,3
"2003",501,3
"2007",502,3
"2011",503,3
"2015",504,3
"2019",505,3
"2023",506,3
"2027",507,3
"2031",508,3
"2035",509,3
"2039",510,3
"2043",511,3
"2047",512,3
"2051",513,3
"2055",514,3
"2059",515,3
"2063",516,3
"2067",517,3
"2071",518,3
"2075",519,3
"2079",520,3
"2083",521,3
"2087",522,3
"2091",523,3
"2095",524,3
"2099",525,3
"2103",526,3
"2107",527,3
"2111",528,3
"2115",529,3
"2119",530,3
"2123",531,3
"2127",532,3
"2131",533,3
"2135",534,3
"2139",535,3
"2143",536,3
"2147",537,3
"2151",538,3
"2155",539,3
"2159",540,3
"2163",541,3
"2167",542,3
"2171",543,3
"2175",544,3
"2179",545,3
"2183",546,3
"2187",547,3
"2191",548,3
"2195",549,3
"2199",550,3
"2203",551,3
"2207",552,3
"2211",553,3
"2215",554,3
"2219",555,3
"2223",556,3
"2227",557,3
"2231",558,3
"2235",559,3
"2239",560,3
"2243",561,3
"2247",562,3
"2251",563,3
"2255",564,3
"2259",565,3
"2263",566,3
"2267",567,3
"2271",568,3
"2275",569,3
"2279",570,3
"2283",571,3
"2287",572,3
"2291",573,3
"2295",574,3
"2299",575,3
"2303",576,3
"2307",577,3
"2311",578,3
"2315",579,3
"2319",580,3
"2323",581,3
"2327",582,3
"2331",583,3
"2335",584,3
"2339",585,3
"2343",586,3
"2347",587,3
"2351",588,3
"2355",589,3
"2359",590,3
"2363",591,3
"2367",592,3
"2371",593,3
"2375",594,3
"2379",595,3
"2383",596,3
"2387",597,3
"2391",598,3
"2395",599,3
"2399",600,3
"2403",601,3
"2407",602,3
"2411",603,3
"2415",604,3
"2419",605,3
"2423",606,3
"2427",607,3
"2431",608,3
"2435",609,3
"2439",610,3
"2443",611,3
"2447",612,3
"2451",613,3
"2455",614,3
"2459",615,3
"2463",616,3
"2467",617,3
"2471",618,3
"2475",619,3
"2479",620,3
"2483",621,3
"2487",622,3
"2491",623,3
"2495",624,3
"2499",625,3
"2503",626,3
"2507",627,3
"2511",628,3
"2515",629,3
"2519",630,3
"2523",631,3
"2527",632,3
"2531",633,3
"2535",634,3
"2539",635,3
"2543",636,3
"2547",637,3
"2551",638,3
"2555",639,3
"2559",640,3
"2563",641,3
"2567",642,3
"2571",643,3
"2575",644,3
"2579",645,3
"2583",646,3
"2587",647,3
"2591",648,3
"2595",649,3
"2599",650,3
"2603",651,3
"2607",652,3
"2611",653,3
"2615",654,3
"2619",655,3
"2623",656,3
"2627",657,3
"2631",658,3
"2635",659,3
"2639",660,3
"2643",661,3
"2647",662,3
"2651",663,3
"2655",664,3
"2659",665,3
"2663",666,3
"2667",667,3
"2671",668,3
"2675",669,3
"2679",670,3
"2683",671,3
"2687",672,3
"2691",673,3
"2695",674,3
"2699",675,3
"2703",676,3
"2707",677,3
"2711",678,3
"2715",679,3
"2719",680,3
"2723",681,3
"2727",682,3
"2731",683,3
"2735",684,3
"2739",685,3
"2743",686,3
"2747",687,3
"2751",688,3
"2755",689,3
"2759",690,3
"2763",691,3
"2767",692,3
"2771",693,3
"2775",694,3
"2779",695,3
"2783",696,3
"2787",697,3
"2791",698,3
"2795",699,3
"2799",700,3
"2803",701,3
"2807",702,3
"2811",703,3
"2815",704,3
"2819",705,3
"2823",706,3
"2827",707,3
"2831",708,3
"2835",709,3
"2839",710,3
"2843",711,3
"2847",712,3
"2851",713,3
"2855",714,3
"2859",715,3
"2863",716,3
"2867",717,3
"2871",718,3
"2875",719,3
"2879",720,3
"2883",721,3
"2887",722,3
"2891",723,3
"2895",724,3
"2899",725,3
"2903",726,3
"2907",727,3
"2911",728,3
"2915",729,3
"2919",730,3
"2923",731,3
"2927",732,3
"2931",733,3
"2935",734,3
"2939",735,3
"2943",736,3
"2947",737,3
"2951",738,3
"2955",739,3
"2959",740,3
"2963",741,3
"2967",742,3
"2971",743,3
"2975",744,3
"2979",745,3
"2983",746,3
"2987",747,3
"2991",748,3
"2995",749,3
"2999",750,3
"3003",751,3
"3007",752,3
"3011",753,3
"3015",754,3
"3019",755,3
