"","t","k"
"1",1000,83
"5",1001,83
"9",1002,83
"13",1003,83
"17",1004,83
"21",1005,83
"25",1006,83
"29",1007,83
"33",1008,83
"37",1009,83
"41",1010,83
"45",1011,83
"49",1012,83
"53",1013,83
"57",1014,83
"61",1015,83
"65",1016,83
"69",1017,83
"73",1018,83
"77",1019,83
"81",1020,83
"85",1021,83
"89",1022,83
"93",1023,83
"97",1024,83
"101",1025,83
"105",1026,83
"109",1027,84
"113",1028,84
"117",1029,84
"121",1030,84
"125",1031,84
"129",1032,84
"133",1033,84
"137",1034,84
"141",1035,84
"145",1036,84
"149",1037,84
"153",1038,84
"157",1039,84
"161",1040,84
"165",1041,84
"169",1042,84
"173",1043,84
"177",1044,84
"181",1045,84
"185",1046,84
"189",1047,84
"193",1048,84
"197",1049,84
"201",1050,84
"205",1051,84
"209",1052,84
"213",1053,84
"217",1054,84
"221",1055,84
"225",1056,84
"229",1057,84
"233",1058,84
"237",1059,84
"241",1060,84
"245",1061,84
"249",1062,84
"253",1063,84
"257",1064,84
"261",1065,84
"265",1066,84
"269",1067,84
"273",1068,84
"277",1069,84
"281",1070,84
"285",1071,84
"289",1072,84
"293",1073,84
"297",1074,84
"301",1075,84
"305",1076,84
"309",1077,84
"313",1078,84
"317",1079,84
"321",1080,84
"325",1081,84
"329",1082,84
"333",1083,84
"337",1084,84
"341",1085,84
"345",1086,84
"349",1087,84
"353",1088,84
"357",1089,84
"361",1090,84
"365",1091,84
"369",1092,85
"373",1093,85
"377",1094,85
"381",1095,85
"385",1096,85
"389",1097,85
"393",1098,85
"397",1099,85
"401",1100,85
"405",1101,85
"409",1102,85
"413",1103,85
"417",1104,85
"421",1105,85
"425",1106,85
"429",1107,85
"433",1108,85
"437",1109,85
"441",1110,85
"445",1111,85
"449",1112,85
"453",1113,85
"457",1114,85
"461",1115,85
"465",1116,85
"469",1117,85
"473",1118,85
"477",1119,85
"481",1120,85
"485",1121,85
"489",1122,85
"493",1123,85
"497",1124,86
"501",1125,86
"505",1126,86
"509",1127,86
"513",1128,86
"517",1129,86
"521",1130,86
"525",1131,86
"529",1132,86
"533",1133,86
"537",1134,86
"541",1135,86
"545",1136,86
"549",1137,86
"553",1138,86
"557",1139,86
"561",1140,86
"565",1141,86
"569",1142,86
"573",1143,86
"577",1144,86
"581",1145,86
"585",1146,86
"589",1147,86
"593",1148,86
"597",1149,86
"601",1150,86
"605",1151,86
"609",1152,86
"613",1153,86
"617",1154,86
"621",1155,86
"625",1156,86
"629",1157,86
"633",1158,86
"637",1159,86
"641",1160,86
"645",1161,86
"649",1162,86
"653",1163,86
"657",1164,86
"661",1165,86
"665",1166,86
"669",1167,86
"673",1168,86
"677",1169,86
"681",1170,86
"685",1171,86
"689",1172,86
"693",1173,86
"697",1174,86
"701",1175,86
"705",1176,86
"709",1177,86
"713",1178,86
"717",1179,86
"721",1180,86
"725",1181,86
"729",1182,86
"733",1183,86
"737",1184,86
"741",1185,86
"745",1186,86
"749",1187,86
"753",1188,86
"757",1189,86
"761",1190,86
"765",1191,86
"769",1192,86
"773",1193,86
"777",1194,86
"781",1195,86
"785",1196,86
"789",1197,86
"793",1198,86
"797",1199,86
"801",1200,86
"805",1201,86
"809",1202,86
"813",1203,86
"817",1204,87
"821",1205,87
"825",1206,87
"829",1207,87
"833",1208,87
"837",1209,88
"841",1210,88
"845",1211,88
"849",1212,88
"853",1213,88
"857",1214,88
"861",1215,88
"865",1216,88
"869",1217,88
"873",1218,88
"877",1219,88
"881",1220,88
"885",1221,88
"889",1222,88
"893",1223,88
"897",1224,88
"901",1225,88
"905",1226,88
"909",1227,88
"913",1228,88
"917",1229,88
"921",1230,88
"925",1231,88
"929",1232,88
"933",1233,88
"937",1234,88
"941",1235,88
"945",1236,88
"949",1237,88
"953",1238,88
"957",1239,88
"961",1240,88
"965",1241,88
"969",1242,88
"973",1243,88
"977",1244,88
"981",1245,88
"985",1246,88
"989",1247,88
"993",1248,88
"997",1249,88
"1001",1250,88
"1005",1251,88
"1009",1252,88
"1013",1253,88
"1017",1254,88
"1021",1255,88
"1025",1256,88
"1029",1257,88
"1033",1258,88
"1037",1259,88
"1041",1260,88
"1045",1261,88
"1049",1262,88
"1053",1263,88
"1057",1264,88
"1061",1265,88
"1065",1266,88
"1069",1267,88
"1073",1268,88
"1077",1269,88
"1081",1270,88
"1085",1271,88
"1089",1272,88
"1093",1273,88
"1097",1274,88
"1101",1275,88
"1105",1276,88
"1109",1277,88
"1113",1278,88
"1117",1279,88
"1121",1280,88
"1125",1281,88
"1129",1282,88
"1133",1283,88
"1137",1284,88
"1141",1285,88
"1145",1286,88
"1149",1287,88
"1153",1288,88
"1157",1289,88
"1161",1290,88
"1165",1291,88
"1169",1292,88
"1173",1293,88
"1177",1294,88
"1181",1295,88
"1185",1296,88
"1189",1297,88
"1193",1298,88
"1197",1299,88
"1201",1300,88
"1205",1301,88
"1209",1302,88
"1213",1303,89
"1217",1304,89
"1221",1305,90
"1225",1306,90
"1229",1307,90
"1233",1308,90
"1237",1309,90
"1241",1310,90
"1245",1311,90
"1249",1312,90
"1253",1313,90
"1257",1314,90
"1261",1315,90
"1265",1316,90
"1269",1317,90
"1273",1318,90
"1277",1319,90
"1281",1320,90
"1285",1321,90
"1289",1322,90
"1293",1323,90
"1297",1324,90
"1301",1325,90
"1305",1326,90
"1309",1327,90
"1313",1328,90
"1317",1329,90
"1321",1330,90
"1325",1331,90
"1329",1332,90
"1333",1333,90
"1337",1334,90
"1341",1335,90
"1345",1336,90
"1349",1337,90
"1353",1338,90
"1357",1339,90
"1361",1340,90
"1365",1341,90
"1369",1342,90
"1373",1343,90
"1377",1344,90
"1381",1345,90
"1385",1346,90
"1389",1347,90
"1393",1348,90
"1397",1349,90
"1401",1350,90
"1405",1351,90
"1409",1352,90
"1413",1353,90
"1417",1354,90
"1421",1355,90
"1425",1356,90
"1429",1357,90
"1433",1358,90
"1437",1359,90
"1441",1360,90
"1445",1361,90
