"","t","k"
"4",1,1
"8",2,1
"12",3,1
"16",4,1
"20",5,1
"24",6,1
"28",7,1
"32",8,1
"36",9,1
"40",10,1
"44",11,1
"48",12,1
"52",13,1
"56",14,1
"60",15,1
"64",16,1
"68",17,1
"72",18,1
"76",19,1
"80",20,1
"84",21,1
"88",22,1
"92",23,1
"96",24,1
"100",25,1
"104",26,1
"108",27,1
"112",28,1
"116",29,1
"120",30,1
"124",31,1
"128",32,1
"132",33,1
"136",34,1
"140",35,1
"144",36,1
"148",37,1
"152",38,1
"156",39,1
"160",40,1
"164",41,1
"168",42,1
"172",43,1
"176",44,1
"180",45,1
"184",46,1
"188",47,1
"192",48,1
"196",49,1
"200",50,1
"204",51,1
"208",52,1
"212",53,1
"216",54,1
"220",55,1
"224",56,1
"228",57,1
"232",58,1
"236",59,1
"240",60,1
"244",61,1
"248",62,1
"252",63,1
"256",64,1
"260",65,1
"264",66,1
"268",67,1
"272",68,1
"276",69,1
"280",70,1
"284",71,1
"288",72,1
"292",73,1
"296",74,1
"300",75,1
"304",76,1
"308",77,1
"312",78,1
"316",79,1
"320",80,1
"324",81,1
"328",82,1
"332",83,1
"336",84,1
"340",85,1
"344",86,1
"348",87,1
"352",88,1
"356",89,1
"360",90,1
"364",91,1
"368",92,1
"372",93,1
"376",94,1
"380",95,1
"384",96,1
"388",97,1
"392",98,1
"396",99,1
"400",100,1
"404",101,1
"408",102,1
"412",103,1
"416",104,1
"420",105,1
"424",106,1
"428",107,1
"432",108,1
"436",109,1
"440",110,1
"444",111,1
"448",112,1
"452",113,1
"456",114,1
"460",115,1
"464",116,1
"468",117,1
"472",118,1
"476",119,1
"480",120,1
"484",121,1
"488",122,1
"492",123,1
"496",124,1
"500",125,1
"504",126,1
"508",127,1
"512",128,1
"516",129,1
"520",130,1
"524",131,1
"528",132,1
"532",133,1
"536",134,1
"540",135,1
"544",136,1
"548",137,1
"552",138,1
"556",139,1
"560",140,1
"564",141,1
"568",142,1
"572",143,1
"576",144,1
"580",145,1
"584",146,1
"588",147,1
"592",148,1
"596",149,1
"600",150,1
"604",151,1
"608",152,1
"612",153,1
"616",154,1
"620",155,1
"624",156,1
"628",157,1
"632",158,1
"636",159,1
"640",160,1
"644",161,1
"648",162,1
"652",163,1
"656",164,1
"660",165,1
"664",166,1
"668",167,1
"672",168,1
"676",169,1
"680",170,1
"684",171,1
"688",172,1
"692",173,1
"696",174,1
"700",175,1
"704",176,1
"708",177,1
"712",178,1
"716",179,1
"720",180,1
"724",181,1
"728",182,1
"732",183,1
"736",184,1
"740",185,1
"744",186,1
"748",187,1
"752",188,1
"756",189,1
"760",190,1
"764",191,1
"768",192,1
"772",193,1
"776",194,1
"780",195,1
"784",196,1
"788",197,1
"792",198,1
"796",199,1
"800",200,1
"804",201,1
"808",202,1
"812",203,1
"816",204,1
"820",205,1
"824",206,1
"828",207,1
"832",208,1
"836",209,1
"840",210,1
"844",211,1
"848",212,1
"852",213,1
"856",214,1
"860",215,1
"864",216,1
"868",217,1
"872",218,1
"876",219,1
"880",220,1
"884",221,1
"888",222,1
"892",223,1
"896",224,1
"900",225,1
"904",226,1
"908",227,1
"912",228,1
"916",229,1
"920",230,1
"924",231,1
"928",232,1
"932",233,1
"936",234,1
"940",235,1
"944",236,1
"948",237,1
"952",238,1
"956",239,1
"960",240,1
"964",241,1
"968",242,1
"972",243,1
"976",244,1
"980",245,1
"984",246,1
"988",247,1
"992",248,1
"996",249,1
"1000",250,1
"1004",251,1
"1008",252,1
"1012",253,1
"1016",254,1
"1020",255,1
"1024",256,1
"1028",257,1
"1032",258,1
"1036",259,1
"1040",260,1
"1044",261,1
"1048",262,1
"1052",263,1
"1056",264,1
"1060",265,1
"1064",266,1
"1068",267,1
"1072",268,1
"1076",269,1
"1080",270,1
"1084",271,1
"1088",272,1
"1092",273,1
"1096",274,1
"1100",275,1
"1104",276,1
"1108",277,1
"1112",278,1
"1116",279,1
"1120",280,1
"1124",281,1
"1128",282,1
"1132",283,1
"1136",284,1
"1140",285,1
"1144",286,1
"1148",287,1
"1152",288,1
"1156",289,1
"1160",290,1
"1164",291,1
"1168",292,1
"1172",293,1
"1176",294,1
"1180",295,1
"1184",296,1
"1188",297,1
"1192",298,1
"1196",299,1
"1200",300,1
"1204",301,1
"1208",302,1
"1212",303,1
"1216",304,1
"1220",305,1
"1224",306,1
"1228",307,1
"1232",308,1
"1236",309,1
"1240",310,1
"1244",311,1
"1248",312,1
"1252",313,1
"1256",314,1
"1260",315,1
"1264",316,1
"1268",317,1
"1272",318,1
"1276",319,1
"1280",320,1
"1284",321,1
"1288",322,1
"1292",323,1
"1296",324,1
"1300",325,1
"1304",326,1
"1308",327,1
"1312",328,1
"1316",329,1
"1320",330,1
"1324",331,1
"1328",332,1
"1332",333,1
"1336",334,1
"1340",335,1
"1344",336,1
"1348",337,1
"1352",338,1
"1356",339,1
"1360",340,1
"1364",341,1
"1368",342,1
"1372",343,1
"1376",344,1
"1380",345,1
"1384",346,1
"1388",347,1
