"","node","t","k"
"1",1,1000,29
"5",1,1001,29
"9",1,1002,29
"13",1,1003,29
"17",1,1004,29
"21",1,1005,29
"25",1,1006,29
"29",1,1007,29
"33",1,1008,29
"37",1,1009,29
"41",1,1010,29
"45",1,1011,29
"49",1,1012,29
"53",1,1013,29
"57",1,1014,29
"61",1,1015,30
"65",1,1016,30
"69",1,1017,31
"73",1,1018,31
"77",1,1019,31
"81",1,1020,32
"85",1,1021,32
"89",1,1022,32
"93",1,1023,32
"97",1,1024,32
"101",1,1025,32
"105",1,1026,32
"109",1,1027,32
"113",1,1028,32
"117",1,1029,32
"121",1,1030,32
"125",1,1031,32
"129",1,1032,32
"133",1,1033,32
"137",1,1034,32
"141",1,1035,32
"145",1,1036,32
"149",1,1037,32
"153",1,1038,32
"157",1,1039,32
"161",1,1040,32
"165",1,1041,32
"169",1,1042,32
"173",1,1043,32
"177",1,1044,32
"181",1,1045,32
"185",1,1046,32
"189",1,1047,32
"193",1,1048,32
"197",1,1049,32
"201",1,1050,32
"205",1,1051,32
"209",1,1052,32
"213",1,1053,32
"217",1,1054,32
"221",1,1055,32
"225",1,1056,32
"229",1,1057,32
"233",1,1058,32
"237",1,1059,32
"241",1,1060,32
"245",1,1061,32
"249",1,1062,32
"253",1,1063,32
"257",1,1064,32
"261",1,1065,32
"265",1,1066,32
"269",1,1067,32
"273",1,1068,32
"277",1,1069,32
"281",1,1070,32
"285",1,1071,32
"289",1,1072,32
"293",1,1073,32
"297",1,1074,32
"301",1,1075,32
"305",1,1076,32
"309",1,1077,32
"313",1,1078,32
"317",1,1079,32
"321",1,1080,32
"325",1,1081,32
"329",1,1082,32
"333",1,1083,32
"337",1,1084,32
"341",1,1085,32
"345",1,1086,32
"349",1,1087,32
"353",1,1088,32
"357",1,1089,32
"361",1,1090,32
"365",1,1091,32
"369",1,1092,32
"373",1,1093,32
"377",1,1094,32
"381",1,1095,32
"385",1,1096,32
"389",1,1097,32
"393",1,1098,32
"397",1,1099,32
"401",1,1100,32
"405",1,1101,32
"409",1,1102,32
"413",1,1103,32
"417",1,1104,32
"421",1,1105,32
"425",1,1106,32
"429",1,1107,32
"433",1,1108,32
"437",1,1109,32
"441",1,1110,32
"445",1,1111,32
"449",1,1112,32
"453",1,1113,32
"457",1,1114,32
"461",1,1115,32
"465",1,1116,32
"469",1,1117,32
"473",1,1118,32
"477",1,1119,32
"481",1,1120,32
"485",1,1121,32
"489",1,1122,32
"493",1,1123,32
"497",1,1124,32
"501",1,1125,32
"505",1,1126,32
"509",1,1127,32
"513",1,1128,32
"517",1,1129,32
"521",1,1130,32
"525",1,1131,32
"529",1,1132,32
"533",1,1133,32
"537",1,1134,32
"541",1,1135,32
"545",1,1136,32
"549",1,1137,32
"553",1,1138,32
"557",1,1139,32
"561",1,1140,32
"565",1,1141,32
"569",1,1142,32
"573",1,1143,32
"577",1,1144,32
"581",1,1145,32
"585",1,1146,32
"589",1,1147,32
"593",1,1148,32
"597",1,1149,32
"601",1,1150,32
"605",1,1151,32
"609",1,1152,32
"613",1,1153,32
"617",1,1154,32
"621",1,1155,32
"625",1,1156,32
"629",1,1157,32
"633",1,1158,32
"637",1,1159,32
"641",1,1160,32
"645",1,1161,32
"649",1,1162,32
"653",1,1163,32
"657",1,1164,32
"661",1,1165,32
"665",1,1166,32
"669",1,1167,32
"673",1,1168,32
"677",1,1169,32
"681",1,1170,32
"685",1,1171,32
"689",1,1172,32
"693",1,1173,32
"697",1,1174,32
"701",1,1175,32
"705",1,1176,32
"709",1,1177,32
"713",1,1178,33
"717",1,1179,33
"721",1,1180,33
"725",1,1181,33
"729",1,1182,33
"733",1,1183,33
"737",1,1184,33
"741",1,1185,33
"745",1,1186,33
"749",1,1187,33
"753",1,1188,33
"757",1,1189,33
"761",1,1190,33
"765",1,1191,33
"769",1,1192,33
"773",1,1193,33
"777",1,1194,33
"781",1,1195,33
"785",1,1196,33
"789",1,1197,33
"793",1,1198,33
"797",1,1199,33
"801",1,1200,33
"805",1,1201,33
"809",1,1202,33
"813",1,1203,33
"817",1,1204,33
"821",1,1205,33
"825",1,1206,33
"829",1,1207,33
"833",1,1208,33
"837",1,1209,33
"841",1,1210,33
"845",1,1211,33
"849",1,1212,33
"853",1,1213,33
"857",1,1214,33
"861",1,1215,33
"865",1,1216,33
"869",1,1217,33
"873",1,1218,33
"877",1,1219,33
"881",1,1220,33
"885",1,1221,33
"889",1,1222,33
"893",1,1223,33
"897",1,1224,33
"901",1,1225,33
"905",1,1226,33
"909",1,1227,33
"913",1,1228,33
"917",1,1229,33
"921",1,1230,33
