"","t","k"
"3",1000,22
"7",1001,22
"11",1002,22
"15",1003,22
"19",1004,22
"23",1005,22
"27",1006,22
"31",1007,22
"35",1008,22
"39",1009,22
"43",1010,22
"47",1011,22
"51",1012,22
"55",1013,22
"59",1014,22
"63",1015,22
"67",1016,22
"71",1017,22
"75",1018,22
"79",1019,22
"83",1020,22
"87",1021,22
"91",1022,22
"95",1023,22
"99",1024,22
"103",1025,22
"107",1026,22
"111",1027,22
"115",1028,22
"119",1029,22
"123",1030,22
"127",1031,22
"131",1032,22
"135",1033,22
"139",1034,22
"143",1035,22
"147",1036,22
"151",1037,22
"155",1038,22
"159",1039,22
"163",1040,22
"167",1041,22
"171",1042,22
"175",1043,22
"179",1044,22
"183",1045,22
"187",1046,22
"191",1047,22
"195",1048,22
"199",1049,22
"203",1050,22
"207",1051,22
"211",1052,22
"215",1053,22
"219",1054,22
"223",1055,22
"227",1056,22
"231",1057,22
"235",1058,22
"239",1059,22
"243",1060,22
"247",1061,22
"251",1062,22
"255",1063,22
"259",1064,22
"263",1065,22
"267",1066,22
"271",1067,22
"275",1068,22
"279",1069,22
"283",1070,22
"287",1071,22
"291",1072,22
"295",1073,22
"299",1074,22
"303",1075,22
"307",1076,22
"311",1077,22
"315",1078,22
"319",1079,22
"323",1080,22
"327",1081,22
"331",1082,22
"335",1083,22
"339",1084,22
"343",1085,23
"347",1086,23
"351",1087,23
"355",1088,23
"359",1089,23
"363",1090,23
"367",1091,23
"371",1092,23
"375",1093,23
"379",1094,23
"383",1095,23
"387",1096,23
"391",1097,23
"395",1098,23
"399",1099,23
"403",1100,23
"407",1101,23
"411",1102,23
"415",1103,23
"419",1104,23
"423",1105,23
"427",1106,23
"431",1107,23
"435",1108,23
"439",1109,23
"443",1110,23
"447",1111,23
"451",1112,23
"455",1113,23
"459",1114,23
"463",1115,23
"467",1116,23
"471",1117,23
"475",1118,23
"479",1119,23
"483",1120,23
"487",1121,23
"491",1122,23
"495",1123,23
"499",1124,23
"503",1125,23
"507",1126,23
"511",1127,23
"515",1128,23
"519",1129,23
"523",1130,23
"527",1131,23
"531",1132,23
"535",1133,23
"539",1134,23
"543",1135,23
"547",1136,23
"551",1137,23
"555",1138,23
"559",1139,23
"563",1140,23
"567",1141,23
"571",1142,23
"575",1143,23
"579",1144,23
"583",1145,23
"587",1146,23
"591",1147,23
"595",1148,23
"599",1149,23
"603",1150,23
"607",1151,23
"611",1152,23
"615",1153,23
"619",1154,23
"623",1155,23
"627",1156,23
"631",1157,23
"635",1158,23
"639",1159,23
"643",1160,23
"647",1161,23
"651",1162,23
"655",1163,23
"659",1164,23
"663",1165,23
"667",1166,23
"671",1167,23
"675",1168,23
"679",1169,23
"683",1170,23
"687",1171,23
"691",1172,23
"695",1173,23
"699",1174,23
"703",1175,23
"707",1176,23
"711",1177,23
"715",1178,23
"719",1179,23
"723",1180,23
"727",1181,23
"731",1182,23
"735",1183,23
"739",1184,23
"743",1185,23
"747",1186,23
"751",1187,23
"755",1188,23
"759",1189,23
"763",1190,23
"767",1191,23
"771",1192,23
"775",1193,23
"779",1194,23
"783",1195,23
"787",1196,23
"791",1197,23
"795",1198,23
"799",1199,23
"803",1200,23
"807",1201,23
"811",1202,23
"815",1203,23
"819",1204,23
"823",1205,23
"827",1206,23
"831",1207,23
"835",1208,23
"839",1209,23
"843",1210,23
"847",1211,23
"851",1212,23
"855",1213,23
"859",1214,23
"863",1215,23
"867",1216,23
"871",1217,23
"875",1218,23
"879",1219,23
"883",1220,23
"887",1221,23
"891",1222,23
"895",1223,23
"899",1224,23
"903",1225,23
"907",1226,23
"911",1227,23
"915",1228,23
"919",1229,23
"923",1230,23
"927",1231,23
"931",1232,23
"935",1233,23
"939",1234,23
"943",1235,23
"947",1236,23
"951",1237,23
"955",1238,23
"959",1239,23
"963",1240,23
"967",1241,23
"971",1242,23
"975",1243,23
"979",1244,23
"983",1245,23
"987",1246,23
"991",1247,23
"995",1248,23
"999",1249,23
"1003",1250,23
"1007",1251,23
"1011",1252,23
"1015",1253,23
"1019",1254,23
"1023",1255,23
"1027",1256,23
"1031",1257,23
"1035",1258,23
"1039",1259,24
"1043",1260,24
"1047",1261,24
"1051",1262,24
"1055",1263,24
"1059",1264,24
"1063",1265,24
"1067",1266,24
"1071",1267,24
"1075",1268,24
"1079",1269,24
"1083",1270,24
"1087",1271,24
"1091",1272,24
"1095",1273,24
"1099",1274,24
"1103",1275,24
"1107",1276,24
"1111",1277,24
"1115",1278,24
"1119",1279,24
"1123",1280,24
"1127",1281,24
"1131",1282,24
"1135",1283,24
"1139",1284,24
"1143",1285,24
"1147",1286,24
"1151",1287,24
"1155",1288,24
"1159",1289,24
"1163",1290,24
"1167",1291,24
"1171",1292,24
"1175",1293,24
"1179",1294,24
"1183",1295,24
"1187",1296,24
"1191",1297,24
"1195",1298,24
"1199",1299,24
"1203",1300,24
"1207",1301,24
"1211",1302,24
"1215",1303,24
"1219",1304,24
"1223",1305,24
"1227",1306,24
"1231",1307,24
"1235",1308,24
"1239",1309,24
"1243",1310,24
"1247",1311,24
"1251",1312,24
"1255",1313,24
"1259",1314,24
"1263",1315,24
"1267",1316,24
"1271",1317,24
"1275",1318,24
"1279",1319,24
"1283",1320,24
"1287",1321,24
"1291",1322,24
"1295",1323,24
