"","t","k"
"1532",1382,9
"1536",1383,9
"1540",1384,9
"1544",1385,9
"1548",1386,9
"1552",1387,9
"1556",1388,9
"1560",1389,9
"1564",1390,9
"1568",1391,9
"1572",1392,9
"1576",1393,9
"1580",1394,9
"1584",1395,9
"1588",1396,9
"1592",1397,9
"1596",1398,9
"1600",1399,9
"1604",1400,9
"1608",1401,9
"1612",1402,9
"1616",1403,9
"1620",1404,9
"1624",1405,9
"1628",1406,9
"1632",1407,9
"1636",1408,9
"1640",1409,9
"1644",1410,9
"1648",1411,9
"1652",1412,9
"1656",1413,9
"1660",1414,9
"1664",1415,9
"1668",1416,9
"1672",1417,9
"1676",1418,9
"1680",1419,9
"1684",1420,9
"1688",1421,9
"1692",1422,9
"1696",1423,9
"1700",1424,9
"1704",1425,9
"1708",1426,9
"1712",1427,9
"1716",1428,9
"1720",1429,9
"1724",1430,9
"1728",1431,9
"1732",1432,9
"1736",1433,9
"1740",1434,9
"1744",1435,9
"1748",1436,9
"1752",1437,9
"1756",1438,9
"1760",1439,9
"1764",1440,9
"1768",1441,9
"1772",1442,9
"1776",1443,9
"1780",1444,9
"1784",1445,9
"1788",1446,9
"1792",1447,9
"1796",1448,9
"1800",1449,9
"1804",1450,9
"1808",1451,9
"1812",1452,9
"1816",1453,9
"1820",1454,9
"1824",1455,9
"1828",1456,9
"1832",1457,9
"1836",1458,9
"1840",1459,9
"1844",1460,9
"1848",1461,9
"1852",1462,9
"1856",1463,9
"1860",1464,9
"1864",1465,9
"1868",1466,9
"1872",1467,9
"1876",1468,9
"1880",1469,9
"1884",1470,9
"1888",1471,9
"1892",1472,9
"1896",1473,9
"1900",1474,9
"1904",1475,9
"1908",1476,9
"1912",1477,9
"1916",1478,9
"1920",1479,9
"1924",1480,9
"1928",1481,9
"1932",1482,9
"1936",1483,9
"1940",1484,9
"1944",1485,9
"1948",1486,9
"1952",1487,9
"1956",1488,9
"1960",1489,9
"1964",1490,9
"1968",1491,9
"1972",1492,9
"1976",1493,9
"1980",1494,9
"1984",1495,9
"1988",1496,9
"1992",1497,9
"1996",1498,9
"2000",1499,9
"2004",1500,9
"2008",1501,9
"2012",1502,9
"2016",1503,9
"2020",1504,9
"2024",1505,9
"2028",1506,9
"2032",1507,9
"2036",1508,9
"2040",1509,9
"2044",1510,9
"2048",1511,9
"2052",1512,9
"2056",1513,9
"2060",1514,9
"2064",1515,9
"2068",1516,9
"2072",1517,9
"2076",1518,9
"2080",1519,9
"2084",1520,9
"2088",1521,9
"2092",1522,9
"2096",1523,9
"2100",1524,9
"2104",1525,9
"2108",1526,9
"2112",1527,9
"2116",1528,9
"2120",1529,9
"2124",1530,9
"2128",1531,9
"2132",1532,9
"2136",1533,9
"2140",1534,9
"2144",1535,9
"2148",1536,9
"2152",1537,9
"2156",1538,9
"2160",1539,9
"2164",1540,9
"2168",1541,9
"2172",1542,9
"2176",1543,9
"2180",1544,9
"2184",1545,9
"2188",1546,9
"2192",1547,9
"2196",1548,9
"2200",1549,9
"2204",1550,9
"2208",1551,9
"2212",1552,9
"2216",1553,9
"2220",1554,9
"2224",1555,9
"2228",1556,9
"2232",1557,9
"2236",1558,9
"2240",1559,9
"2244",1560,9
"2248",1561,9
"2252",1562,9
"2256",1563,9
"2260",1564,9
"2264",1565,9
"2268",1566,9
"2272",1567,9
"2276",1568,9
"2280",1569,9
"2284",1570,9
"2288",1571,9
"2292",1572,9
"2296",1573,9
"2300",1574,9
"2304",1575,9
"2308",1576,9
"2312",1577,9
"2316",1578,9
"2320",1579,9
"2324",1580,9
"2328",1581,9
"2332",1582,9
"2336",1583,9
"2340",1584,9
"2344",1585,9
"2348",1586,9
"2352",1587,9
"2356",1588,9
"2360",1589,9
"2364",1590,9
"2368",1591,9
"2372",1592,9
"2376",1593,9
"2380",1594,9
"2384",1595,9
"2388",1596,9
"2392",1597,9
"2396",1598,9
"2400",1599,9
"2404",1600,9
"2408",1601,9
"2412",1602,9
"2416",1603,9
"2420",1604,9
"2424",1605,9
"2428",1606,9
"2432",1607,9
"2436",1608,9
"2440",1609,9
"2444",1610,9
"2448",1611,9
"2452",1612,9
"2456",1613,9
"2460",1614,9
"2464",1615,9
"2468",1616,9
"2472",1617,9
"2476",1618,9
"2480",1619,9
"2484",1620,9
"2488",1621,9
"2492",1622,9
"2496",1623,9
"2500",1624,9
"2504",1625,9
"2508",1626,9
"2512",1627,9
"2516",1628,9
"2520",1629,9
"2524",1630,9
"2528",1631,9
"2532",1632,9
"2536",1633,9
"2540",1634,9
"2544",1635,9
"2548",1636,9
"2552",1637,9
"2556",1638,9
"2560",1639,9
"2564",1640,9
"2568",1641,9
"2572",1642,9
"2576",1643,9
"2580",1644,9
"2584",1645,9
"2588",1646,9
"2592",1647,9
"2596",1648,9
"2600",1649,9
"2604",1650,9
"2608",1651,9
"2612",1652,9
"2616",1653,9
"2620",1654,9
"2624",1655,9
"2628",1656,9
"2632",1657,9
"2636",1658,9
"2640",1659,9
"2644",1660,9
"2648",1661,9
"2652",1662,9
"2656",1663,9
"2660",1664,9
"2664",1665,9
"2668",1666,9
"2672",1667,9
"2676",1668,9
"2680",1669,9
"2684",1670,9
"2688",1671,9
"2692",1672,9
"2696",1673,9
"2700",1674,9
"2704",1675,9
"2708",1676,9
"2712",1677,9
"2716",1678,9
"2720",1679,9
"2724",1680,9
"2728",1681,9
"2732",1682,9
"2736",1683,9
"2740",1684,9
"2744",1685,9
"2748",1686,9
"2752",1687,9
"2756",1688,9
"2760",1689,9
"2764",1690,9
"2768",1691,9
"2772",1692,9
"2776",1693,9
"2780",1694,9
"2784",1695,9
"2788",1696,9
"2792",1697,9
"2796",1698,9
"2800",1699,9
"2804",1700,9
"2808",1701,9
"2812",1702,9
"2816",1703,9
"2820",1704,9
"2824",1705,9
"2828",1706,9
"2832",1707,9
"2836",1708,9
"2840",1709,9
"2844",1710,9
"2848",1711,9
"2852",1712,9
"2856",1713,9
"2860",1714,9
"2864",1715,9
"2868",1716,9
"2872",1717,9
"2876",1718,9
"2880",1719,9
"2884",1720,9
"2888",1721,9
"2892",1722,9
"2896",1723,9
"2900",1724,9
"2904",1725,9
"2908",1726,9
"2912",1727,9
"2916",1728,9
"2920",1729,9
"2924",1730,9
"2928",1731,9
"2932",1732,9
"2936",1733,9
"2940",1734,9
"2944",1735,9
"2948",1736,9
"2952",1737,9
"2956",1738,9
"2960",1739,9
"2964",1740,9
"2968",1741,9
"2972",1742,9
"2976",1743,9
"2980",1744,9
"2984",1745,9
"2988",1746,9
"2992",1747,9
"2996",1748,9
"3000",1749,9
"3004",1750,9
"3008",1751,9
"3012",1752,9
"3016",1753,9
"3020",1754,9
"3024",1755,9
"3028",1756,9
"3032",1757,9
"3036",1758,9
"3040",1759,9
"3044",1760,9
"3048",1761,9
"3052",1762,9
"3056",1763,9
"3060",1764,9
"3064",1765,9
"3068",1766,9
"3072",1767,9
"3076",1768,9
"3080",1769,9
"3084",1770,9
"3088",1771,9
"3092",1772,9
"3096",1773,9
"3100",1774,9
"3104",1775,9
"3108",1776,9
"3112",1777,9
"3116",1778,9
"3120",1779,9
"3124",1780,9
"3128",1781,9
"3132",1782,9
"3136",1783,9
"3140",1784,9
"3144",1785,9
"3148",1786,9
"3152",1787,9
"3156",1788,9
"3160",1789,9
"3164",1790,9
"3168",1791,9
"3172",1792,9
"3176",1793,9
"3180",1794,9
"3184",1795,9
"3188",1796,9
"3192",1797,9
"3196",1798,9
"3200",1799,9
"3204",1800,9
"3208",1801,9
"3212",1802,9
"3216",1803,9
"3220",1804,9
"3224",1805,9
"3228",1806,9
"3232",1807,9
"3236",1808,10
"3240",1809,10
"3244",1810,10
"3248",1811,10
"3252",1812,10
"3256",1813,10
