"","node","t","k"
"4",1000,1000,5
"8",1000,1001,5
"12",1000,1002,5
"16",1000,1003,5
"20",1000,1004,5
"24",1000,1005,5
"28",1000,1006,5
"32",1000,1007,5
"36",1000,1008,5
"40",1000,1009,5
"44",1000,1010,5
"48",1000,1011,5
"52",1000,1012,5
"56",1000,1013,5
"60",1000,1014,5
"64",1000,1015,5
"68",1000,1016,5
"72",1000,1017,5
"76",1000,1018,5
"80",1000,1019,5
"84",1000,1020,5
"88",1000,1021,5
"92",1000,1022,5
"96",1000,1023,5
"100",1000,1024,5
"104",1000,1025,5
"108",1000,1026,5
"112",1000,1027,5
"116",1000,1028,5
"120",1000,1029,5
"124",1000,1030,5
"128",1000,1031,5
"132",1000,1032,5
"136",1000,1033,5
"140",1000,1034,5
"144",1000,1035,5
"148",1000,1036,5
"152",1000,1037,5
"156",1000,1038,5
"160",1000,1039,5
"164",1000,1040,5
"168",1000,1041,5
"172",1000,1042,5
"176",1000,1043,5
"180",1000,1044,5
"184",1000,1045,5
"188",1000,1046,5
"192",1000,1047,5
"196",1000,1048,5
"200",1000,1049,5
"204",1000,1050,5
"208",1000,1051,5
"212",1000,1052,5
"216",1000,1053,5
"220",1000,1054,5
"224",1000,1055,5
"228",1000,1056,5
"232",1000,1057,5
"236",1000,1058,5
"240",1000,1059,5
"244",1000,1060,5
"248",1000,1061,5
"252",1000,1062,5
"256",1000,1063,5
"260",1000,1064,5
"264",1000,1065,5
"268",1000,1066,5
"272",1000,1067,5
"276",1000,1068,5
"280",1000,1069,5
"284",1000,1070,5
"288",1000,1071,5
"292",1000,1072,5
"296",1000,1073,5
"300",1000,1074,5
"304",1000,1075,5
"308",1000,1076,5
"312",1000,1077,5
"316",1000,1078,5
"320",1000,1079,5
"324",1000,1080,5
"328",1000,1081,5
"332",1000,1082,5
"336",1000,1083,5
"340",1000,1084,5
"344",1000,1085,5
"348",1000,1086,5
"352",1000,1087,5
"356",1000,1088,5
"360",1000,1089,5
"364",1000,1090,5
"368",1000,1091,5
"372",1000,1092,5
"376",1000,1093,5
"380",1000,1094,5
"384",1000,1095,5
"388",1000,1096,5
"392",1000,1097,5
"396",1000,1098,5
"400",1000,1099,5
"404",1000,1100,5
"408",1000,1101,5
"412",1000,1102,5
"416",1000,1103,5
"420",1000,1104,5
"424",1000,1105,5
"428",1000,1106,5
"432",1000,1107,5
"436",1000,1108,5
"440",1000,1109,5
"444",1000,1110,5
"448",1000,1111,5
"452",1000,1112,5
"456",1000,1113,5
"460",1000,1114,5
"464",1000,1115,5
"468",1000,1116,5
"472",1000,1117,5
"476",1000,1118,5
"480",1000,1119,5
"484",1000,1120,5
"488",1000,1121,5
"492",1000,1122,5
"496",1000,1123,5
"500",1000,1124,5
"504",1000,1125,5
"508",1000,1126,5
"512",1000,1127,5
"516",1000,1128,5
"520",1000,1129,5
"524",1000,1130,5
"528",1000,1131,5
"532",1000,1132,5
"536",1000,1133,5
"540",1000,1134,5
"544",1000,1135,5
"548",1000,1136,5
"552",1000,1137,5
"556",1000,1138,5
"560",1000,1139,5
"564",1000,1140,5
"568",1000,1141,5
"572",1000,1142,5
"576",1000,1143,5
"580",1000,1144,5
"584",1000,1145,5
"588",1000,1146,5
"592",1000,1147,5
"596",1000,1148,5
"600",1000,1149,5
"604",1000,1150,5
"608",1000,1151,5
"612",1000,1152,5
"616",1000,1153,5
"620",1000,1154,5
"624",1000,1155,5
"628",1000,1156,5
"632",1000,1157,5
"636",1000,1158,5
"640",1000,1159,5
"644",1000,1160,5
"648",1000,1161,5
"652",1000,1162,5
"656",1000,1163,5
"660",1000,1164,5
"664",1000,1165,5
"668",1000,1166,5
"672",1000,1167,5
"676",1000,1168,5
"680",1000,1169,5
"684",1000,1170,5
"688",1000,1171,5
"692",1000,1172,5
"696",1000,1173,5
"700",1000,1174,5
"704",1000,1175,5
"708",1000,1176,5
"712",1000,1177,5
"716",1000,1178,5
"720",1000,1179,5
"724",1000,1180,5
"728",1000,1181,5
"732",1000,1182,5
"736",1000,1183,5
"740",1000,1184,5
"744",1000,1185,5
"748",1000,1186,5
"752",1000,1187,5
"756",1000,1188,5
"760",1000,1189,5
"764",1000,1190,5
"768",1000,1191,5
"772",1000,1192,5
"776",1000,1193,5
"780",1000,1194,5
"784",1000,1195,5
"788",1000,1196,5
"792",1000,1197,5
"796",1000,1198,5
"800",1000,1199,5
"804",1000,1200,5
"808",1000,1201,5
"812",1000,1202,5
"816",1000,1203,5
"820",1000,1204,5
"824",1000,1205,5
"828",1000,1206,5
"832",1000,1207,5
"836",1000,1208,5
"840",1000,1209,5
"844",1000,1210,5
"848",1000,1211,5
"852",1000,1212,5
"856",1000,1213,5
"860",1000,1214,5
"864",1000,1215,5
"868",1000,1216,5
"872",1000,1217,5
"876",1000,1218,5
"880",1000,1219,5
"884",1000,1220,5
"888",1000,1221,5
"892",1000,1222,5
"896",1000,1223,5
"900",1000,1224,5
"904",1000,1225,5
"908",1000,1226,5
"912",1000,1227,5
"916",1000,1228,5
"920",1000,1229,5
"924",1000,1230,5
"928",1000,1231,5
"932",1000,1232,5
"936",1000,1233,5
"940",1000,1234,5
"944",1000,1235,5
"948",1000,1236,5
"952",1000,1237,5
"956",1000,1238,5
"960",1000,1239,5
"964",1000,1240,5
"968",1000,1241,5
"972",1000,1242,5
"976",1000,1243,5
"980",1000,1244,5
"984",1000,1245,5
"988",1000,1246,5
"992",1000,1247,5
"996",1000,1248,5
"1000",1000,1249,5
"1004",1000,1250,5
"1008",1000,1251,5
"1012",1000,1252,5
"1016",1000,1253,5
"1020",1000,1254,5
"1024",1000,1255,5
"1028",1000,1256,5
"1032",1000,1257,5
"1036",1000,1258,5
"1040",1000,1259,5
"1044",1000,1260,5
"1048",1000,1261,5
"1052",1000,1262,5
"1056",1000,1263,5
"1060",1000,1264,5
"1064",1000,1265,5
"1068",1000,1266,5
"1072",1000,1267,5
"1076",1000,1268,5
"1080",1000,1269,5
"1084",1000,1270,5
"1088",1000,1271,5
"1092",1000,1272,5
"1096",1000,1273,5
"1100",1000,1274,5
"1104",1000,1275,5
"1108",1000,1276,5
"1112",1000,1277,5
"1116",1000,1278,5
"1120",1000,1279,5
"1124",1000,1280,5
"1128",1000,1281,5
"1132",1000,1282,5
"1136",1000,1283,5
"1140",1000,1284,5
"1144",1000,1285,5
"1148",1000,1286,5
"1152",1000,1287,5
"1156",1000,1288,5
"1160",1000,1289,5
"1164",1000,1290,5
"1168",1000,1291,5
"1172",1000,1292,5
"1176",1000,1293,5
"1180",1000,1294,5
"1184",1000,1295,5
"1188",1000,1296,5
"1192",1000,1297,5
"1196",1000,1298,5
"1200",1000,1299,5
"1204",1000,1300,5
"1208",1000,1301,5
"1212",1000,1302,5
"1216",1000,1303,5
"1220",1000,1304,5
"1224",1000,1305,5
"1228",1000,1306,5
"1232",1000,1307,5
"1236",1000,1308,5
"1240",1000,1309,5
"1244",1000,1310,6
"1248",1000,1311,6
"1252",1000,1312,6
"1256",1000,1313,6
"1260",1000,1314,6
"1264",1000,1315,6
"1268",1000,1316,6
"1272",1000,1317,6
"1276",1000,1318,6
"1280",1000,1319,6
"1284",1000,1320,6
"1288",1000,1321,6
"1292",1000,1322,6
"1296",1000,1323,6
"1300",1000,1324,6
"1304",1000,1325,6
"1308",1000,1326,6
"1312",1000,1327,6
"1316",1000,1328,6
"1320",1000,1329,6
"1324",1000,1330,6
"1328",1000,1331,6
"1332",1000,1332,6
"1336",1000,1333,6
"1340",1000,1334,6
"1344",1000,1335,6
"1348",1000,1336,6
"1352",1000,1337,6
"1356",1000,1338,6
"1360",1000,1339,6
"1364",1000,1340,6
"1368",1000,1341,6
"1372",1000,1342,6
"1376",1000,1343,6
"1380",1000,1344,6
"1384",1000,1345,6
"1388",1000,1346,6
"1392",1000,1347,6
"1396",1000,1348,6
"1400",1000,1349,6
"1404",1000,1350,6
"1408",1000,1351,6
"1412",1000,1352,6
"1416",1000,1353,6
"1420",1000,1354,6
"1424",1000,1355,6
"1428",1000,1356,6
"1432",1000,1357,6
"1436",1000,1358,6
"1440",1000,1359,6
"1444",1000,1360,6
"1448",1000,1361,6
"1452",1000,1362,6
"1456",1000,1363,6
"1460",1000,1364,6
"1464",1000,1365,6
"1468",1000,1366,6
"1472",1000,1367,6
"1476",1000,1368,6
"1480",1000,1369,6
"1484",1000,1370,6
"1488",1000,1371,6
"1492",1000,1372,6
"1496",1000,1373,6
"1500",1000,1374,6
"1504",1000,1375,6
"1508",1000,1376,6
"1512",1000,1377,6
"1516",1000,1378,6
"1520",1000,1379,6
"1524",1000,1380,6
"1528",1000,1381,6
"1532",1000,1382,6
"1536",1000,1383,6
"1540",1000,1384,6
"1544",1000,1385,6
"1548",1000,1386,6
"1552",1000,1387,6
"1556",1000,1388,6
"1560",1000,1389,6
