"","node","t","k"
"1564",1000,1390,6
"1568",1000,1391,6
"1572",1000,1392,6
"1576",1000,1393,6
"1580",1000,1394,6
"1584",1000,1395,6
"1588",1000,1396,6
"1592",1000,1397,6
"1596",1000,1398,6
"1600",1000,1399,6
"1604",1000,1400,6
"1608",1000,1401,6
"1612",1000,1402,6
"1616",1000,1403,6
"1620",1000,1404,6
"1624",1000,1405,6
"1628",1000,1406,6
"1632",1000,1407,6
"1636",1000,1408,6
"1640",1000,1409,6
"1644",1000,1410,6
"1648",1000,1411,6
"1652",1000,1412,6
"1656",1000,1413,6
"1660",1000,1414,6
"1664",1000,1415,6
"1668",1000,1416,6
"1672",1000,1417,6
"1676",1000,1418,6
"1680",1000,1419,6
"1684",1000,1420,6
"1688",1000,1421,6
"1692",1000,1422,6
"1696",1000,1423,6
"1700",1000,1424,6
"1704",1000,1425,6
"1708",1000,1426,6
"1712",1000,1427,6
"1716",1000,1428,6
"1720",1000,1429,6
"1724",1000,1430,6
"1728",1000,1431,6
"1732",1000,1432,6
"1736",1000,1433,6
"1740",1000,1434,6
"1744",1000,1435,6
"1748",1000,1436,6
"1752",1000,1437,6
"1756",1000,1438,6
"1760",1000,1439,6
"1764",1000,1440,6
"1768",1000,1441,6
"1772",1000,1442,6
"1776",1000,1443,6
"1780",1000,1444,6
"1784",1000,1445,6
"1788",1000,1446,6
"1792",1000,1447,6
"1796",1000,1448,6
"1800",1000,1449,6
"1804",1000,1450,6
"1808",1000,1451,6
"1812",1000,1452,6
"1816",1000,1453,6
"1820",1000,1454,6
"1824",1000,1455,6
"1828",1000,1456,6
"1832",1000,1457,6
"1836",1000,1458,6
"1840",1000,1459,6
"1844",1000,1460,6
"1848",1000,1461,6
"1852",1000,1462,6
"1856",1000,1463,6
"1860",1000,1464,6
"1864",1000,1465,6
"1868",1000,1466,6
"1872",1000,1467,6
"1876",1000,1468,6
"1880",1000,1469,6
"1884",1000,1470,6
"1888",1000,1471,6
"1892",1000,1472,6
"1896",1000,1473,6
"1900",1000,1474,6
"1904",1000,1475,6
"1908",1000,1476,6
"1912",1000,1477,6
"1916",1000,1478,6
"1920",1000,1479,6
"1924",1000,1480,6
"1928",1000,1481,6
"1932",1000,1482,6
"1936",1000,1483,6
"1940",1000,1484,6
"1944",1000,1485,6
"1948",1000,1486,6
"1952",1000,1487,6
"1956",1000,1488,6
"1960",1000,1489,6
"1964",1000,1490,6
"1968",1000,1491,6
"1972",1000,1492,6
"1976",1000,1493,6
"1980",1000,1494,6
"1984",1000,1495,6
"1988",1000,1496,6
"1992",1000,1497,6
"1996",1000,1498,6
"2000",1000,1499,6
"2004",1000,1500,6
"2008",1000,1501,6
"2012",1000,1502,6
"2016",1000,1503,7
"2020",1000,1504,7
"2024",1000,1505,7
"2028",1000,1506,7
"2032",1000,1507,7
"2036",1000,1508,7
"2040",1000,1509,7
"2044",1000,1510,7
"2048",1000,1511,7
"2052",1000,1512,7
"2056",1000,1513,7
"2060",1000,1514,7
"2064",1000,1515,7
"2068",1000,1516,7
"2072",1000,1517,7
"2076",1000,1518,7
"2080",1000,1519,7
"2084",1000,1520,7
"2088",1000,1521,7
"2092",1000,1522,7
"2096",1000,1523,7
"2100",1000,1524,7
"2104",1000,1525,7
"2108",1000,1526,7
"2112",1000,1527,7
"2116",1000,1528,7
"2120",1000,1529,7
"2124",1000,1530,7
"2128",1000,1531,7
"2132",1000,1532,7
"2136",1000,1533,7
"2140",1000,1534,7
"2144",1000,1535,7
"2148",1000,1536,7
"2152",1000,1537,7
"2156",1000,1538,7
"2160",1000,1539,7
"2164",1000,1540,7
"2168",1000,1541,7
"2172",1000,1542,7
"2176",1000,1543,7
"2180",1000,1544,7
"2184",1000,1545,7
"2188",1000,1546,7
"2192",1000,1547,7
"2196",1000,1548,7
"2200",1000,1549,7
"2204",1000,1550,7
"2208",1000,1551,7
"2212",1000,1552,7
"2216",1000,1553,7
"2220",1000,1554,7
"2224",1000,1555,7
"2228",1000,1556,7
"2232",1000,1557,7
"2236",1000,1558,7
"2240",1000,1559,7
"2244",1000,1560,7
"2248",1000,1561,7
"2252",1000,1562,7
"2256",1000,1563,7
"2260",1000,1564,7
"2264",1000,1565,7
"2268",1000,1566,7
"2272",1000,1567,7
"2276",1000,1568,7
"2280",1000,1569,7
"2284",1000,1570,7
"2288",1000,1571,7
"2292",1000,1572,7
"2296",1000,1573,7
"2300",1000,1574,7
"2304",1000,1575,7
"2308",1000,1576,7
"2312",1000,1577,7
"2316",1000,1578,7
"2320",1000,1579,7
"2324",1000,1580,7
"2328",1000,1581,7
"2332",1000,1582,7
"2336",1000,1583,7
"2340",1000,1584,7
"2344",1000,1585,7
"2348",1000,1586,7
"2352",1000,1587,7
"2356",1000,1588,7
"2360",1000,1589,7
"2364",1000,1590,7
"2368",1000,1591,7
"2372",1000,1592,7
"2376",1000,1593,7
"2380",1000,1594,7
"2384",1000,1595,7
"2388",1000,1596,7
"2392",1000,1597,7
"2396",1000,1598,7
"2400",1000,1599,7
"2404",1000,1600,7
"2408",1000,1601,7
"2412",1000,1602,7
"2416",1000,1603,7
"2420",1000,1604,7
"2424",1000,1605,7
"2428",1000,1606,7
"2432",1000,1607,7
"2436",1000,1608,7
"2440",1000,1609,7
"2444",1000,1610,7
"2448",1000,1611,7
"2452",1000,1612,7
"2456",1000,1613,7
"2460",1000,1614,7
"2464",1000,1615,7
"2468",1000,1616,7
"2472",1000,1617,7
"2476",1000,1618,7
"2480",1000,1619,7
"2484",1000,1620,7
"2488",1000,1621,7
"2492",1000,1622,7
"2496",1000,1623,7
"2500",1000,1624,7
"2504",1000,1625,7
"2508",1000,1626,7
"2512",1000,1627,7
"2516",1000,1628,7
"2520",1000,1629,7
"2524",1000,1630,7
"2528",1000,1631,7
"2532",1000,1632,7
"2536",1000,1633,7
"2540",1000,1634,7
"2544",1000,1635,7
"2548",1000,1636,7
"2552",1000,1637,7
"2556",1000,1638,7
"2560",1000,1639,7
"2564",1000,1640,7
"2568",1000,1641,7
"2572",1000,1642,7
"2576",1000,1643,7
"2580",1000,1644,7
"2584",1000,1645,7
"2588",1000,1646,7
"2592",1000,1647,7
"2596",1000,1648,7
"2600",1000,1649,7
"2604",1000,1650,7
"2608",1000,1651,7
"2612",1000,1652,7
"2616",1000,1653,7
"2620",1000,1654,7
"2624",1000,1655,7
"2628",1000,1656,7
"2632",1000,1657,7
"2636",1000,1658,7
"2640",1000,1659,7
"2644",1000,1660,7
"2648",1000,1661,7
"2652",1000,1662,7
"2656",1000,1663,7
"2660",1000,1664,7
"2664",1000,1665,7
"2668",1000,1666,7
"2672",1000,1667,7
"2676",1000,1668,7
"2680",1000,1669,7
"2684",1000,1670,7
"2688",1000,1671,7
"2692",1000,1672,7
"2696",1000,1673,7
"2700",1000,1674,7
"2704",1000,1675,7
"2708",1000,1676,7
"2712",1000,1677,7
"2716",1000,1678,7
"2720",1000,1679,7
"2724",1000,1680,7
"2728",1000,1681,7
"2732",1000,1682,7
"2736",1000,1683,7
"2740",1000,1684,7
"2744",1000,1685,7
"2748",1000,1686,7
"2752",1000,1687,7
"2756",1000,1688,7
"2760",1000,1689,7
"2764",1000,1690,7
"2768",1000,1691,7
"2772",1000,1692,7
"2776",1000,1693,7
"2780",1000,1694,7
"2784",1000,1695,7
"2788",1000,1696,7
"2792",1000,1697,7
"2796",1000,1698,7
"2800",1000,1699,7
"2804",1000,1700,7
"2808",1000,1701,7
"2812",1000,1702,7
"2816",1000,1703,7
"2820",1000,1704,7
"2824",1000,1705,7
"2828",1000,1706,7
"2832",1000,1707,7
"2836",1000,1708,7
"2840",1000,1709,7
"2844",1000,1710,7
"2848",1000,1711,7
"2852",1000,1712,7
"2856",1000,1713,7
"2860",1000,1714,7
"2864",1000,1715,7
"2868",1000,1716,7
"2872",1000,1717,7
"2876",1000,1718,7
"2880",1000,1719,7
"2884",1000,1720,7
"2888",1000,1721,7
"2892",1000,1722,7
"2896",1000,1723,7
"2900",1000,1724,7
"2904",1000,1725,7
"2908",1000,1726,7
"2912",1000,1727,7
"2916",1000,1728,7
"2920",1000,1729,7
"2924",1000,1730,7
"2928",1000,1731,7
"2932",1000,1732,7
"2936",1000,1733,7
"2940",1000,1734,7
"2944",1000,1735,7
"2948",1000,1736,7
"2952",1000,1737,7
"2956",1000,1738,7
"2960",1000,1739,7
"2964",1000,1740,7
"2968",1000,1741,7
"2972",1000,1742,7
"2976",1000,1743,7
"2980",1000,1744,7
"2984",1000,1745,7
"2988",1000,1746,7
"2992",1000,1747,7
"2996",1000,1748,7
"3000",1000,1749,7
"3004",1000,1750,7
"3008",1000,1751,7
"3012",1000,1752,7
"3016",1000,1753,7
"3020",1000,1754,7
"3024",1000,1755,7
"3028",1000,1756,7
"3032",1000,1757,7
"3036",1000,1758,7
"3040",1000,1759,7
"3044",1000,1760,7
"3048",1000,1761,7
"3052",1000,1762,7
"3056",1000,1763,7
"3060",1000,1764,7
"3064",1000,1765,7
"3068",1000,1766,7
"3072",1000,1767,7
"3076",1000,1768,7
"3080",1000,1769,7
"3084",1000,1770,7
"3088",1000,1771,7
"3092",1000,1772,7
"3096",1000,1773,7
"3100",1000,1774,7
"3104",1000,1775,7
"3108",1000,1776,7
"3112",1000,1777,7
"3116",1000,1778,7
"3120",1000,1779,7
"3124",1000,1780,7
"3128",1000,1781,7
"3132",1000,1782,7
"3136",1000,1783,7
"3140",1000,1784,7
"3144",1000,1785,7
"3148",1000,1786,7
"3152",1000,1787,7
"3156",1000,1788,7
"3160",1000,1789,7
"3164",1000,1790,7
"3168",1000,1791,7
"3172",1000,1792,7
"3176",1000,1793,7
"3180",1000,1794,7
"3184",1000,1795,7
"3188",1000,1796,7
"3192",1000,1797,7
"3196",1000,1798,7
"3200",1000,1799,7
"3204",1000,1800,7
"3208",1000,1801,7
"3212",1000,1802,7
"3216",1000,1803,7
"3220",1000,1804,7
"3224",1000,1805,7
"3228",1000,1806,7
"3232",1000,1807,7
"3236",1000,1808,7
"3240",1000,1809,7
"3244",1000,1810,7
"3248",1000,1811,7
"3252",1000,1812,7
"3256",1000,1813,7
"3260",1000,1814,7
"3264",1000,1815,7
"3268",1000,1816,7
"3272",1000,1817,7
"3276",1000,1818,7
"3280",1000,1819,7
"3284",1000,1820,7
"3288",1000,1821,7
"3292",1000,1822,7
"3296",1000,1823,7
"3300",1000,1824,7
"3304",1000,1825,7
"3308",1000,1826,7
"3312",1000,1827,7
"3316",1000,1828,7
"3320",1000,1829,7
"3324",1000,1830,7
"3328",1000,1831,7
"3332",1000,1832,7
"3336",1000,1833,7
"3340",1000,1834,7
"3344",1000,1835,7
"3348",1000,1836,7
"3352",1000,1837,7
"3356",1000,1838,7
"3360",1000,1839,7
"3364",1000,1840,7
"3368",1000,1841,7
"3372",1000,1842,7
"3376",1000,1843,7
"3380",1000,1844,7
"3384",1000,1845,7
"3388",1000,1846,7
"3392",1000,1847,7
"3396",1000,1848,7
"3400",1000,1849,7
"3404",1000,1850,7
"3408",1000,1851,7
"3412",1000,1852,7
"3416",1000,1853,7
"3420",1000,1854,7
"3424",1000,1855,7
"3428",1000,1856,7
"3432",1000,1857,7
"3436",1000,1858,7
"3440",1000,1859,7
"3444",1000,1860,7
"3448",1000,1861,7
"3452",1000,1862,7
"3456",1000,1863,7
"3460",1000,1864,7
"3464",1000,1865,7
"3468",1000,1866,7
"3472",1000,1867,7
"3476",1000,1868,7
"3480",1000,1869,7
"3484",1000,1870,7
"3488",1000,1871,7
"3492",1000,1872,7
"3496",1000,1873,7
"3500",1000,1874,7
"3504",1000,1875,7
"3508",1000,1876,7
"3512",1000,1877,7
"3516",1000,1878,7
"3520",1000,1879,7
"3524",1000,1880,7
"3528",1000,1881,7
"3532",1000,1882,7
"3536",1000,1883,7
"3540",1000,1884,7
"3544",1000,1885,7
"3548",1000,1886,7
"3552",1000,1887,7
"3556",1000,1888,7
"3560",1000,1889,7
"3564",1000,1890,7
"3568",1000,1891,7
"3572",1000,1892,7
"3576",1000,1893,7
"3580",1000,1894,7
"3584",1000,1895,7
"3588",1000,1896,7
"3592",1000,1897,7
"3596",1000,1898,7
"3600",1000,1899,7
"3604",1000,1900,7
"3608",1000,1901,7
"3612",1000,1902,7
"3616",1000,1903,7
"3620",1000,1904,7
"3624",1000,1905,7
"3628",1000,1906,7
"3632",1000,1907,7
"3636",1000,1908,7
"3640",1000,1909,7
"3644",1000,1910,7
"3648",1000,1911,7
"3652",1000,1912,7
"3656",1000,1913,7
"3660",1000,1914,7
"3664",1000,1915,7
"3668",1000,1916,7
"3672",1000,1917,7
"3676",1000,1918,7
"3680",1000,1919,7
"3684",1000,1920,7
"3688",1000,1921,7
"3692",1000,1922,7
"3696",1000,1923,7
"3700",1000,1924,7
"3704",1000,1925,7
"3708",1000,1926,7
"3712",1000,1927,7
"3716",1000,1928,7
"3720",1000,1929,7
"3724",1000,1930,7
"3728",1000,1931,7
"3732",1000,1932,7
"3736",1000,1933,7
"3740",1000,1934,7
"3744",1000,1935,7
"3748",1000,1936,7
"3752",1000,1937,7
"3756",1000,1938,7
"3760",1000,1939,7
"3764",1000,1940,7
"3768",1000,1941,7
"3772",1000,1942,7
"3776",1000,1943,7
"3780",1000,1944,7
"3784",1000,1945,7
"3788",1000,1946,7
"3792",1000,1947,7
"3796",1000,1948,7
"3800",1000,1949,7
"3804",1000,1950,7
"3808",1000,1951,7
"3812",1000,1952,7
"3816",1000,1953,7
"3820",1000,1954,7
"3824",1000,1955,7
"3828",1000,1956,7
"3832",1000,1957,7
"3836",1000,1958,7
"3840",1000,1959,7
"3844",1000,1960,7
"3848",1000,1961,7
"3852",1000,1962,7
"3856",1000,1963,7
"3860",1000,1964,7
"3864",1000,1965,7
"3868",1000,1966,7
"3872",1000,1967,7
"3876",1000,1968,7
"3880",1000,1969,7
"3884",1000,1970,7
"3888",1000,1971,7
"3892",1000,1972,7
"3896",1000,1973,7
"3900",1000,1974,7
"3904",1000,1975,7
"3908",1000,1976,7
"3912",1000,1977,7
"3916",1000,1978,7
"3920",1000,1979,7
"3924",1000,1980,7
"3928",1000,1981,7
"3932",1000,1982,7
"3936",1000,1983,7
"3940",1000,1984,7
"3944",1000,1985,7
"3948",1000,1986,7
"3952",1000,1987,7
"3956",1000,1988,7
"3960",1000,1989,7
"3964",1000,1990,7
"3968",1000,1991,7
"3972",1000,1992,7
"3976",1000,1993,7
"3980",1000,1994,7
"3984",1000,1995,7
"3988",1000,1996,7
"3992",1000,1997,7
"3996",1000,1998,7
"4000",1000,1999,7
"4004",1000,2000,7
"4008",1000,2001,7
"4012",1000,2002,7
"4016",1000,2003,7
"4020",1000,2004,7
"4024",1000,2005,7
"4028",1000,2006,7
"4032",1000,2007,7
"4036",1000,2008,7
"4040",1000,2009,7
"4044",1000,2010,7
"4048",1000,2011,7
"4052",1000,2012,7
"4056",1000,2013,7
"4060",1000,2014,7
"4064",1000,2015,7
"4068",1000,2016,7
"4072",1000,2017,7
"4076",1000,2018,7
"4080",1000,2019,7
"4084",1000,2020,7
"4088",1000,2021,7
"4092",1000,2022,7
"4096",1000,2023,7
"4100",1000,2024,7
"4104",1000,2025,7
"4108",1000,2026,7
"4112",1000,2027,7
"4116",1000,2028,7
"4120",1000,2029,7
"4124",1000,2030,7
"4128",1000,2031,7
"4132",1000,2032,7
"4136",1000,2033,7
"4140",1000,2034,7
"4144",1000,2035,7
"4148",1000,2036,7
"4152",1000,2037,7
"4156",1000,2038,7
"4160",1000,2039,7
"4164",1000,2040,7
"4168",1000,2041,7
"4172",1000,2042,7
"4176",1000,2043,7
"4180",1000,2044,7
"4184",1000,2045,7
"4188",1000,2046,7
"4192",1000,2047,7
"4196",1000,2048,7
"4200",1000,2049,7
"4204",1000,2050,7
"4208",1000,2051,7
"4212",1000,2052,7
"4216",1000,2053,7
"4220",1000,2054,7
"4224",1000,2055,7
"4228",1000,2056,7
"4232",1000,2057,7
"4236",1000,2058,7
"4240",1000,2059,7
"4244",1000,2060,7
"4248",1000,2061,8
"4252",1000,2062,8
"4256",1000,2063,8
"4260",1000,2064,8
"4264",1000,2065,8
"4268",1000,2066,8
"4272",1000,2067,8
"4276",1000,2068,8
"4280",1000,2069,8
"4284",1000,2070,8
"4288",1000,2071,8
"4292",1000,2072,8
"4296",1000,2073,8
"4300",1000,2074,8
"4304",1000,2075,8
"4308",1000,2076,8
"4312",1000,2077,8
"4316",1000,2078,8
"4320",1000,2079,8
"4324",1000,2080,8
"4328",1000,2081,8
"4332",1000,2082,8
"4336",1000,2083,8
"4340",1000,2084,8
"4344",1000,2085,8
"4348",1000,2086,8
"4352",1000,2087,8
"4356",1000,2088,8
"4360",1000,2089,8
"4364",1000,2090,8
"4368",1000,2091,8
"4372",1000,2092,8
"4376",1000,2093,8
"4380",1000,2094,8
"4384",1000,2095,8
"4388",1000,2096,8
"4392",1000,2097,8
"4396",1000,2098,8
"4400",1000,2099,8
"4404",1000,2100,8
"4408",1000,2101,8
"4412",1000,2102,8
"4416",1000,2103,8
"4420",1000,2104,8
"4424",1000,2105,8
"4428",1000,2106,8
"4432",1000,2107,8
"4436",1000,2108,8
"4440",1000,2109,8
"4444",1000,2110,8
"4448",1000,2111,8
"4452",1000,2112,8
"4456",1000,2113,8
"4460",1000,2114,8
"4464",1000,2115,8
"4468",1000,2116,8
"4472",1000,2117,8
"4476",1000,2118,8
"4480",1000,2119,8
"4484",1000,2120,8
"4488",1000,2121,8
"4492",1000,2122,8
"4496",1000,2123,8
"4500",1000,2124,8
"4504",1000,2125,8
"4508",1000,2126,8
"4512",1000,2127,8
"4516",1000,2128,8
"4520",1000,2129,8
"4524",1000,2130,8
"4528",1000,2131,8
"4532",1000,2132,8
"4536",1000,2133,8
"4540",1000,2134,8
"4544",1000,2135,8
"4548",1000,2136,8
"4552",1000,2137,8
"4556",1000,2138,8
"4560",1000,2139,8
"4564",1000,2140,8
"4568",1000,2141,8
"4572",1000,2142,8
"4576",1000,2143,8
"4580",1000,2144,8
"4584",1000,2145,8
"4588",1000,2146,8
"4592",1000,2147,8
"4596",1000,2148,8
"4600",1000,2149,8
"4604",1000,2150,8
"4608",1000,2151,8
"4612",1000,2152,8
"4616",1000,2153,8
"4620",1000,2154,8
"4624",1000,2155,8
"4628",1000,2156,8
"4632",1000,2157,8
"4636",1000,2158,8
"4640",1000,2159,8
"4644",1000,2160,8
"4648",1000,2161,8
"4652",1000,2162,8
"4656",1000,2163,8
"4660",1000,2164,8
"4664",1000,2165,8
"4668",1000,2166,8
"4672",1000,2167,8
"4676",1000,2168,8
"4680",1000,2169,8
"4684",1000,2170,8
"4688",1000,2171,8
"4692",1000,2172,8
"4696",1000,2173,8
"4700",1000,2174,8
"4704",1000,2175,8
"4708",1000,2176,8
"4712",1000,2177,8
"4716",1000,2178,8
"4720",1000,2179,8
"4724",1000,2180,8
"4728",1000,2181,8
"4732",1000,2182,8
"4736",1000,2183,8
"4740",1000,2184,8
